"Id","Name","Office","Local Division","Beginning term","End of term"
"181","Figueroa, Liz","State Assembly","20",1994-12-05,1996-11-30
"184","Firestone, Brooks","State Assembly","35",1994-12-05,1996-11-30
"195","Friedman, Barbara","State Assembly","40",1994-12-05,1996-11-30
"200","Frusetta, Peter","State Assembly","28",1994-12-05,1996-11-30
"209","Gallegos, Martin","State Assembly","57",1994-12-05,1996-11-30
"220","Goldsmith, Jan","State Assembly","75",1994-12-05,1996-11-30
"228","Granlund, Brett","State Assembly","65",1994-12-05,1996-11-30
"250","Hawkins, Phil","State Assembly","56",1994-12-05,1996-11-30
"260","Hoge, Bill","State Assembly","44",1994-12-05,1996-11-30
"265","Horcher, Paul V.","State Assembly","60",1994-12-05,1995-05-16
"268","House, George","State Assembly","25",1994-12-05,1996-11-30
"288","Kaloogian, Howard","State Assembly","74",1994-12-05,1996-11-30
"303","Knight, Wm. Pete","State Assembly","36",1994-12-05,1996-11-01
"304","Knowles, David","State Assembly","4",1994-12-05,1996-11-30
"305","Knox, Wally","State Assembly","42",1994-12-05,1996-11-30
"309","Kuehl, Sheila James","State Assembly","41",1994-12-05,1996-11-30
"310","Kuykendall, Steven T.","State Assembly","54",1994-12-05,1996-11-30
"320","Lee, Barbara","State Assembly","16",1994-12-05,1996-11-30
"344","Machado, Mike","State Assembly","17",1994-12-05,1996-11-30
"349","Margett, Bob","State Assembly","59",1995-06-06,1996-11-30
"354","Martinez, Diane","State Assembly","49",1994-12-05,1996-11-30
"361","Mazzoni, Kerry","State Assembly","6",1994-12-05,1996-11-30
"367","McDonald, Juanita M.","State Assembly","55",1994-12-05,1996-04-15
"369","McPherson, Bruce","State Assembly","27",1994-12-05,1996-11-30
"373","Migden, Carole","State Assembly","13",1995-12-15,1996-11-30
"374","Miller, Gary G.","State Assembly","60",1995-05-17,1996-11-30
"383","Morrissey, Jim","State Assembly","69",1994-12-05,1996-11-30
"384","Morrow, Bill","State Assembly","73",1994-12-05,1996-11-30
"390","Murray, Kevin","State Assembly","47",1994-12-05,1996-11-30
"395","Napolitano, Grace M.","State Assembly","58",1994-12-05,1996-11-30
"409","Olberg, Keith","State Assembly","34",1994-12-05,1996-11-30
"430","Poochigian, Charles","State Assembly","29",1994-12-05,1996-11-30
"438","Rainey, Richard K.","State Assembly","15",1994-12-05,1996-11-30
"443","Richter, Bernie","State Assembly","3",1994-12-05,1996-11-30
"450","Rogan, James E.","State Assembly","43",1994-12-05,1996-11-30
"472","Setencich, Brian","State Assembly","30",1994-12-05,1996-11-30
"498","Sweeney, Michael","State Assembly","18",1994-12-05,1996-11-30
"500","Takasugi, Nao","State Assembly","37",1994-12-05,1996-11-30
"503","Thompson, Bruce","State Assembly","66",1994-12-05,1996-11-30
"521","Villaraigosa, Antonio R.","State Assembly","45",1994-12-05,1996-11-30
"534","Weggeland, Ted","State Assembly","64",1994-12-05,1996-11-30
"545","Woods, Tom","State Assembly","2",1994-12-05,1996-11-30
"003","Ackerman, Dick","State Assembly","72",1996-12-02,1998-11-30
"009","Aguiar, Fred","State Assembly","61",1996-12-02,1998-11-30
"012","Alby, Barbara","State Assembly","5",1996-12-02,1998-11-30
"018","Alquist, Elaine","State Assembly","22",1996-12-02,1998-11-30
"026","Aroner, Dion","State Assembly","14",1996-12-02,1998-11-30
"027","Ashburn, Roy","State Assembly","32",1996-12-02,1998-11-30
"029","Baca, Joe","State Assembly","62",1996-12-02,1998-11-30
"034","Baldwin, Steve","State Assembly","77",1996-12-02,1998-11-30
"039","Battin, Jim","State Assembly","80",1996-12-02,1998-11-30
"041","Baugh, Scott","State Assembly","67",1996-12-02,1998-11-30
"066","Bordonaro, Tom Jr.","State Assembly","33",1996-12-02,1998-11-30
"069","Bowen, Debra","State Assembly","53",1996-12-02,1998-11-30
"070","Bowler, Larry","State Assembly","10",1996-12-02,1998-11-30
"073","Brewer, Marilyn C.","State Assembly","70",1996-12-02,1998-11-30
"080","Brown, Valerie","State Assembly","7",1996-12-02,1998-11-30
"087","Bustamante, Cruz M.","State Assembly","31",1996-12-02,1998-11-30
"090","Caldera, Louis","State Assembly","46",1996-12-02,1997-09-02
"096","Campbell, Bill","State Assembly","71",1996-12-02,1998-11-30
"102","Cardenas, Tony","State Assembly","39",1996-12-02,1998-11-30
"103","Cardoza, Dennis","State Assembly","26",1996-12-02,1998-11-30
"139","Cunneen, James F. \"Jim\"","State Assembly","24",1996-12-02,1998-11-30
"149","Davis, Susan A.","State Assembly","76",1996-12-02,1998-11-30
"161","Ducheny, Denise Moreno","State Assembly","79",1996-12-02,1998-11-30
"175","Escutia, Martha M.","State Assembly","50",1996-12-02,1998-11-30
"181","Figueroa, Liz","State Assembly","20",1996-12-02,1998-11-30
"184","Firestone, Brooks","State Assembly","35",1996-12-02,1998-11-30
"200","Frusetta, Peter","State Assembly","28",1996-12-02,1998-11-30
"209","Gallegos, Martin","State Assembly","57",1996-12-02,1998-11-30
"220","Goldsmith, Jan","State Assembly","75",1996-12-02,1998-11-30
"228","Granlund, Brett","State Assembly","65",1996-12-02,1998-11-30
"249","Havice, Sally","State Assembly","56",1996-12-02,1998-11-30
"257","Hertzberg, Bob","State Assembly","40",1996-12-02,1998-11-30
"263","Honda, Mike","State Assembly","23",1996-12-02,1998-11-30
"268","House, George","State Assembly","25",1996-12-02,1998-11-30
"288","Kaloogian, Howard","State Assembly","74",1996-12-02,1998-11-30
"294","Keeley, Fred","State Assembly","27",1996-12-02,1998-11-30
"305","Knox, Wally","State Assembly","42",1996-12-02,1998-11-30
"309","Kuehl, Sheila James","State Assembly","41",1996-12-02,1998-11-30
"310","Kuykendall, Steven T.","State Assembly","54",1996-12-02,1998-11-30
"318","Leach, Lynne","State Assembly","15",1996-12-02,1998-11-30
"344","Machado, Mike","State Assembly","17",1996-12-02,1998-11-30
"349","Margett, Bob","State Assembly","59",1996-12-02,1998-11-30
"354","Martinez, Diane","State Assembly","49",1996-12-02,1998-11-30
"361","Mazzoni, Kerry","State Assembly","6",1996-12-02,1998-11-30
"373","Migden, Carole","State Assembly","13",1996-12-02,1998-11-30
"374","Miller, Gary G.","State Assembly","60",1996-12-02,1998-11-30
"383","Morrissey, Jim","State Assembly","69",1996-12-02,1998-11-30
"384","Morrow, Bill","State Assembly","73",1996-12-02,1998-11-30
"390","Murray, Kevin","State Assembly","47",1996-12-02,1998-11-30
"395","Napolitano, Grace M.","State Assembly","58",1996-12-02,1998-11-30
"409","Olberg, Keith","State Assembly","34",1996-12-02,1998-11-30
"410","Oller, Thomas Rico","State Assembly","4",1996-12-02,1998-11-30
"413","Ortiz, Deborah V.","State Assembly","9",1996-12-02,1998-11-30
"416","Pacheco, Rod","State Assembly","64",1996-12-02,1998-11-30
"423","Perata, Don","State Assembly","16",1996-12-02,1998-11-30
"430","Poochigian, Charles","State Assembly","29",1996-12-02,1998-11-30
"432","Prenter, Robert M. Jr","State Assembly","30",1996-12-02,1998-11-30
"443","Richter, Bernie","State Assembly","3",1996-12-02,1998-11-30
"457","Runner, George","State Assembly","36",1996-12-02,1998-11-30
"468","Scott, Jack","State Assembly","44",1996-12-02,1998-11-30
"474","Shelley, Kevin","State Assembly","12",1996-12-02,1998-11-30
"496","Strom-Martin, Virginia","State Assembly","1",1996-12-02,1998-11-30
"498","Sweeney, Michael","State Assembly","18",1996-12-02,1998-11-30
"500","Takasugi, Nao","State Assembly","37",1996-12-02,1998-11-30
"503","Thompson, Bruce","State Assembly","66",1996-12-02,1998-11-30
"504","Thomson, Helen","State Assembly","8",1996-12-02,1998-11-30
"508","Torlakson, Tom","State Assembly","11",1996-12-02,1998-11-30
"521","Villaraigosa, Antonio R.","State Assembly","45",1996-12-02,1998-11-30
"523","Vincent, Edward","State Assembly","51",1996-12-02,1998-11-30
"529","Washington, Carl","State Assembly","52",1996-12-02,1998-11-30
"532","Wayne, Howard","State Assembly","78",1996-12-02,1998-11-30
"539","Wildman, Scott","State Assembly","43",1996-12-02,1998-11-30
"545","Woods, Tom","State Assembly","2",1996-12-02,1998-11-30
"548","Wright, Roderick","State Assembly","48",1996-12-02,1998-11-30
"001","Aanestad, Samuel","State Assembly","3",1998-12-07,2000-11-30
"003","Ackerman, Dick","State Assembly","72",1998-12-07,2000-11-30
"018","Alquist, Elaine","State Assembly","22",1998-12-07,2000-11-30
"026","Aroner, Dion","State Assembly","14",1998-12-07,2000-11-30
"027","Ashburn, Roy","State Assembly","32",1998-12-07,2000-11-30
"034","Baldwin, Steve","State Assembly","77",1998-12-07,2000-11-30
"037","Bates, Patricia","State Assembly","73",1998-12-07,2000-11-30
"039","Battin, Jim","State Assembly","80",1998-12-07,2000-11-30
"041","Baugh, Scott","State Assembly","67",1998-12-07,2000-11-30
"060","Bock, Audie","State Assembly","16",1999-04-05,2000-11-30
"073","Brewer, Marilyn C.","State Assembly","70",1998-12-07,2000-11-30
"074","Briggs, Mike","State Assembly","29",1998-12-07,2000-11-30
"095","Calderon, Thomas","State Assembly","58",1998-12-07,2000-11-30
"096","Campbell, Bill","State Assembly","71",1998-12-07,2000-11-30
"102","Cardenas, Tony","State Assembly","39",1998-12-07,2000-11-30
"103","Cardoza, Dennis","State Assembly","26",1998-12-07,2000-11-30
"106","Cedillo, Gil","State Assembly","46",1998-12-07,2000-11-30
"132","Corbett, Ellen","State Assembly","18",1998-12-07,2000-11-30
"133","Correa, Lou","State Assembly","69",1998-12-07,2000-11-30
"137","Cox, Dave","State Assembly","5",1998-12-07,2000-11-30
"139","Cunneen, James F. \"Jim\"","State Assembly","24",1998-12-07,2000-11-30
"149","Davis, Susan A.","State Assembly","76",1998-12-07,2000-11-30
"156","Dickerson, Richard","State Assembly","2",1998-12-07,2000-11-30
"161","Ducheny, Denise Moreno","State Assembly","79",1998-12-07,2000-11-30
"165","Dutra, John","State Assembly","20",1998-12-07,2000-11-30
"183","Firebaugh, Marco Antonio","State Assembly","50",1998-12-07,2000-11-30
"187","Florez, Dean","State Assembly","30",1998-12-07,2000-11-30
"200","Frusetta, Peter","State Assembly","28",1998-12-07,2000-11-30
"209","Gallegos, Martin","State Assembly","57",1998-12-07,2000-11-30
"228","Granlund, Brett","State Assembly","65",1998-12-07,2000-11-30
"249","Havice, Sally","State Assembly","56",1998-12-07,2000-11-30
"257","Hertzberg, Bob","State Assembly","40",1998-12-07,2000-11-30
"263","Honda, Mike","State Assembly","23",1998-12-07,2000-11-30
"268","House, George","State Assembly","25",1998-12-07,2000-11-30
"281","Jackson, Hannah-Beth","State Assembly","35",1998-12-07,2000-11-30
"288","Kaloogian, Howard","State Assembly","74",1998-12-07,2000-11-30
"294","Keeley, Fred","State Assembly","27",1998-12-07,2000-11-30
"305","Knox, Wally","State Assembly","42",1998-12-07,2000-11-30
"309","Kuehl, Sheila James","State Assembly","41",1998-12-07,2000-11-30
"318","Leach, Lynne","State Assembly","15",1998-12-07,2000-11-30
"338","Longville, John","State Assembly","62",1998-12-07,2000-11-30
"341","Lowenthal, Alan","State Assembly","54",1998-12-07,2000-11-30
"344","Machado, Mike","State Assembly","17",1998-12-07,2000-11-30
"345","Maddox, Ken","State Assembly","68",1998-12-07,2000-11-30
"347","Maldonado, Abel","State Assembly","33",1998-12-07,2000-11-30
"349","Margett, Bob","State Assembly","59",1998-12-07,2000-11-30
"361","Mazzoni, Kerry","State Assembly","6",1998-12-07,2000-11-30
"373","Migden, Carole","State Assembly","13",1998-12-07,2000-11-30
"393","Nakano, George","State Assembly","53",1998-12-07,2000-11-30
"409","Olberg, Keith","State Assembly","34",1998-12-07,2000-11-30
"410","Oller, Thomas Rico","State Assembly","4",1998-12-07,2000-11-30
"415","Pacheco, Robert","State Assembly","60",1998-12-07,2000-11-30
"416","Pacheco, Rod","State Assembly","64",1998-12-07,2000-11-30
"426","Pescetti, Anthony","State Assembly","10",1998-12-07,2000-11-30
"441","Reyes, Sarah","State Assembly","31",1998-12-07,2000-11-30
"452","Romero, Gloria","State Assembly","49",1998-12-07,2000-11-30
"457","Runner, George","State Assembly","36",1998-12-07,2000-11-30
"468","Scott, Jack","State Assembly","44",1998-12-07,2000-11-30
"474","Shelley, Kevin","State Assembly","12",1998-12-07,2000-11-30
"485","Soto, Nell","State Assembly","61",1998-12-07,2000-11-30
"489","Steinberg, Darrell","State Assembly","9",1998-12-07,2000-11-30
"494","Strickland, Tony","State Assembly","37",1998-12-07,2000-11-30
"496","Strom-Martin, Virginia","State Assembly","1",1998-12-07,2000-11-30
"503","Thompson, Bruce","State Assembly","66",1998-12-07,2000-11-30
"504","Thomson, Helen","State Assembly","8",1998-12-07,2000-11-30
"508","Torlakson, Tom","State Assembly","11",1998-12-07,2000-11-30
"521","Villaraigosa, Antonio R.","State Assembly","45",1998-12-07,2000-11-30
"523","Vincent, Edward","State Assembly","51",1998-12-07,2000-11-30
"529","Washington, Carl","State Assembly","52",1998-12-07,2000-11-30
"532","Wayne, Howard","State Assembly","78",1998-12-07,2000-11-30
"535","Wesson, Herb","State Assembly","47",1998-12-07,2000-11-30
"538","Wiggins, Pat","State Assembly","7",1998-12-07,2000-11-30
"539","Wildman, Scott","State Assembly","43",1998-12-07,2000-11-30
"548","Wright, Roderick","State Assembly","48",1998-12-07,2000-11-30
"555","Zettel, Charlene","State Assembly","75",1998-12-07,2000-11-30
"452","Romero, Gloria","State Assembly","49",2000-12-04,2001-05-12
"496","Strom-Martin, Virginia","State Assembly","1",2000-12-04,2002-12-02
"156","Dickerson, Richard","State Assembly","2",2000-12-04,2002-12-02
"001","Aanestad, Samuel","State Assembly","3",2000-12-04,2002-12-02
"137","Cox, Dave","State Assembly","5",2000-12-04,2002-12-02
"396","Nation, Joseph","State Assembly","6",2000-12-04,2002-12-02
"538","Wiggins, Pat","State Assembly","7",2000-12-04,2002-12-02
"504","Thomson, Helen","State Assembly","8",2000-12-04,2002-12-02
"489","Steinberg, Darrell","State Assembly","9",2000-12-04,2002-12-02
"426","Pescetti, Anthony","State Assembly","10",2000-12-04,2002-12-02
"100","Canciamilla, Joseph","State Assembly","11",2000-12-04,2002-12-02
"474","Shelley, Kevin","State Assembly","12",2000-12-04,2002-12-02
"373","Migden, Carole","State Assembly","13",2000-12-04,2002-12-02
"026","Aroner, Dion","State Assembly","14",2000-12-04,2002-12-02
"318","Leach, Lynne","State Assembly","15",2000-12-04,2002-12-02
"109","Chan, Wilma","State Assembly","16",2000-12-04,2002-12-02
"357","Matthews, Barbara","State Assembly","17",2000-12-04,2002-12-02
"132","Corbett, Ellen","State Assembly","18",2000-12-04,2002-12-02
"165","Dutra, John","State Assembly","20",2000-12-04,2002-12-02
"477","Simitian, Joseph","State Assembly","21",2000-12-04,2002-12-02
"018","Alquist, Elaine","State Assembly","22",2000-12-04,2002-12-02
"155","Diaz, Manny","State Assembly","23",2000-12-04,2002-12-02
"122","Cohn, Rebecca","State Assembly","24",2000-12-04,2002-12-02
"121","Cogdill, Dave","State Assembly","25",2000-12-04,2002-12-02
"103","Cardoza, Dennis","State Assembly","26",2000-12-04,2002-12-02
"294","Keeley, Fred","State Assembly","27",2000-12-04,2002-12-02
"465","Salinas, Simon","State Assembly","28",2000-12-04,2002-12-02
"074","Briggs, Mike","State Assembly","29",2000-12-04,2002-12-02
"187","Florez, Dean","State Assembly","30",2000-12-04,2002-12-02
"441","Reyes, Sarah","State Assembly","31",2000-12-04,2002-12-02
"027","Ashburn, Roy","State Assembly","32",2000-12-04,2002-12-02
"347","Maldonado, Abel","State Assembly","33",2000-12-04,2002-12-02
"281","Jackson, Hannah-Beth","State Assembly","35",2000-12-04,2002-12-02
"457","Runner, George","State Assembly","36",2000-12-04,2002-12-02
"494","Strickland, Tony","State Assembly","37",2000-12-04,2002-12-02
"442","Richman, Keith","State Assembly","38",2000-12-04,2002-12-02
"102","Cardenas, Tony","State Assembly","39",2000-12-04,2002-12-02
"257","Hertzberg, Bob","State Assembly","40",2000-12-04,2002-12-02
"421","Pavley, Fran","State Assembly","41",2000-12-04,2002-12-02
"307","Koretz, Paul","State Assembly","42",2000-12-04,2002-12-02
"199","Frommer, Dario","State Assembly","43",2000-12-04,2002-12-02
"334","Liu, Carol","State Assembly","44",2000-12-04,2002-12-02
"219","Goldberg, Jackie","State Assembly","45",2000-12-04,2002-12-02
"106","Cedillo, Gil","State Assembly","46",2000-12-04,2002-12-02
"535","Wesson, Herb","State Assembly","47",2000-12-04,2002-12-02
"548","Wright, Roderick","State Assembly","48",2000-12-04,2002-12-02
"118","Chu, Judy","State Assembly","49",2001-05-12,2002-12-02
"183","Firebaugh, Marco Antonio","State Assembly","50",2000-12-04,2002-12-02
"266","Horton, Jerome","State Assembly","51",2000-12-04,2002-12-02
"529","Washington, Carl","State Assembly","52",2000-12-04,2002-12-02
"393","Nakano, George","State Assembly","53",2000-12-04,2002-12-02
"341","Lowenthal, Alan","State Assembly","54",2000-12-04,2002-12-02
"412","Oropeza, Jenny","State Assembly","55",2000-12-04,2002-12-02
"249","Havice, Sally","State Assembly","56",2000-12-04,2002-12-02
"113","Chavez, Edward","State Assembly","57",2000-12-04,2002-12-02
"095","Calderon, Thomas","State Assembly","58",2000-12-04,2002-12-02
"385","Mountjoy, Dennis","State Assembly","59",2000-12-04,2002-12-02
"415","Pacheco, Robert","State Assembly","60",2000-12-04,2002-12-02
"368","McLeod, Gloria Negrete","State Assembly","61",2000-12-04,2002-12-02
"338","Longville, John","State Assembly","62",2000-12-04,2002-12-02
"416","Pacheco, Rod","State Assembly","64",2000-12-04,2002-12-02
"062","Bogh, Russ","State Assembly","65",2000-12-04,2002-12-02
"262","Hollingsworth, Dennis","State Assembly","66",2000-12-04,2002-11-30
"243","Harman, Tom","State Assembly","67",2000-12-04,2002-12-02
"345","Maddox, Ken","State Assembly","68",2000-12-04,2002-12-02
"133","Correa, Lou","State Assembly","69",2000-12-04,2002-12-02
"097","Campbell, John","State Assembly","70",2000-12-04,2002-12-02
"096","Campbell, Bill","State Assembly","71",2000-12-04,2002-12-02
"145","Daucher, Lynn","State Assembly","72",2000-12-04,2002-12-02
"037","Bates, Patricia","State Assembly","73",2000-12-04,2002-12-02
"549","Wyland, Mark","State Assembly","74",2000-12-04,2002-12-02
"555","Zettel, Charlene","State Assembly","75",2000-12-04,2002-12-02
"296","Kehoe, Christine","State Assembly","76",2000-12-04,2002-12-02
"313","La Suer, Jay","State Assembly","77",2000-12-04,2002-12-02
"532","Wayne, Howard","State Assembly","78",2000-12-04,2002-12-02
"517","Vargas, Juan","State Assembly","79",2000-12-04,2002-12-02
"006","Aghazarian, Greg","State Assembly","26",2002-12-02,2004-11-30
"037","Bates, Patricia","State Assembly","73",2002-12-02,2004-11-30
"045","Benoit, John J.","State Assembly","64",2002-12-02,2004-11-30
"047","Berg, Patty","State Assembly","1",2002-12-02,2004-11-30
"051","Bermudez, Rudy","State Assembly","56",2002-12-02,2004-11-30
"062","Bogh, Russ","State Assembly","65",2002-12-02,2004-11-30
"094","Calderon, Ronald S.","State Assembly","58",2002-12-02,2004-11-30
"097","Campbell, John","State Assembly","70",2002-12-02,2004-11-30
"100","Canciamilla, Joseph","State Assembly","11",2002-12-02,2004-11-30
"109","Chan, Wilma","State Assembly","16",2002-12-02,2004-11-30
"113","Chavez, Edward","State Assembly","57",2002-12-02,2004-11-30
"118","Chu, Judy","State Assembly","49",2002-12-02,2004-11-30
"121","Cogdill, Dave","State Assembly","25",2002-12-02,2004-11-30
"122","Cohn, Rebecca","State Assembly","24",2002-12-02,2004-11-30
"132","Corbett, Ellen","State Assembly","18",2002-12-02,2004-11-30
"133","Correa, Lou","State Assembly","69",2002-12-02,2004-11-30
"137","Cox, Dave","State Assembly","5",2002-12-02,2004-11-30
"145","Daucher, Lynn","State Assembly","72",2002-12-02,2004-11-30
"155","Diaz, Manny","State Assembly","23",2002-12-02,2004-11-30
"165","Dutra, John","State Assembly","20",2002-12-02,2004-11-30
"166","Dutton, Robert D.","State Assembly","63",2002-12-02,2004-11-30
"168","Dymally, Mervyn","State Assembly","52",2002-12-02,2004-11-30
"183","Firebaugh, Marco Antonio","State Assembly","50",2002-12-02,2004-11-30
"199","Frommer, Dario","State Assembly","43",2002-12-02,2004-11-30
"210","Garcia, Bonnie","State Assembly","80",2002-12-02,2004-11-30
"219","Goldberg, Jackie","State Assembly","45",2002-12-02,2004-11-30
"239","Hancock, Loni","State Assembly","14",2002-12-02,2004-11-30
"243","Harman, Tom","State Assembly","67",2002-12-02,2004-11-30
"253","Haynes, Ray","State Assembly","66",2002-12-02,2004-11-30
"266","Horton, Jerome","State Assembly","51",2002-12-02,2004-11-30
"267","Horton, Shirley","State Assembly","78",2002-12-02,2004-11-30
"269","Houston, Guy S.","State Assembly","15",2002-12-02,2004-11-30
"281","Jackson, Hannah-Beth","State Assembly","35",2002-12-02,2004-11-30
"295","Keene, Rick","State Assembly","3",2002-12-02,2004-11-30
"296","Kehoe, Christine","State Assembly","76",2002-12-02,2004-11-30
"307","Koretz, Paul","State Assembly","42",2002-12-02,2004-11-30
"312","La Malfa, Doug","State Assembly","2",2002-12-02,2004-11-30
"313","La Suer, Jay","State Assembly","77",2002-12-02,2004-11-30
"315","Laird, John","State Assembly","27",2002-12-02,2004-11-30
"323","Leno, Mark","State Assembly","13",2002-12-02,2004-11-30
"327","Levine, Lloyd","State Assembly","40",2002-12-02,2004-11-30
"330","Lieber, Sally J.","State Assembly","22",2002-12-02,2004-11-30
"334","Liu, Carol","State Assembly","44",2002-12-02,2004-11-30
"338","Longville, John","State Assembly","62",2002-12-02,2004-11-30
"341","Lowenthal, Alan","State Assembly","54",2002-12-02,2004-11-30
"345","Maddox, Ken","State Assembly","68",2002-12-02,2004-11-30
"347","Maldonado, Abel","State Assembly","33",2002-12-02,2004-11-30
