"Id","Name","Office","Local Division","Beginning term","End of term"
"017","Alpert, Dede","State Assembly","75",1990-12-03,1992-11-30
"020","Andal, Dean","State Assembly","26",1991-05-16,1992-11-30
"024","Archie-Hudson, Marguerite","State Assembly","48",1990-12-03,1992-11-30
"043","Becerra, Xavier","State Assembly","59",1990-12-03,1992-11-30
"063","Boland, Paula L.","State Assembly","38",1990-12-03,1992-11-30
"083","Brulte, James L.","State Assembly","65",1990-12-07,1992-11-30
"101","Cannella, Sal","State Assembly","27",1990-12-03,1992-11-30
"123","Collins, B.T","State Assembly","5",1991-09-18,1992-11-30
"127","Conroy, Mickey","State Assembly","67",1991-09-18,1992-11-30
"195","Friedman, Barbara","State Assembly","46",1991-08-01,1992-11-30
"227","Gotch, Mike","State Assembly","78",1990-12-03,1992-11-30
"265","Horcher, Paul V.","State Assembly","52",1990-12-03,1992-11-30
"304","Knowles, David","State Assembly","7",1990-12-03,1992-11-30
"320","Lee, Barbara","State Assembly","13",1990-12-03,1992-11-30
"359","Mays, Tom","State Assembly","58",1990-12-03,1992-11-30
"469","Seastrand, Andrea","State Assembly","29",1990-12-03,1992-11-30
"515","Umberg, Thomas","State Assembly","72",1990-12-03,1992-11-30
"009","Aguiar, Fred","State Assembly","61",1992-12-07,1994-11-30
"012","Alby, Barbara","State Assembly","5",1993-07-30,1994-11-30
"017","Alpert, Dede","State Assembly","78",1992-12-07,1994-11-30
"020","Andal, Dean","State Assembly","17",1992-12-07,1994-11-30
"024","Archie-Hudson, Marguerite","State Assembly","48",1992-12-07,1994-11-30
"029","Baca, Joe","State Assembly","62",1992-12-07,1994-11-30
"063","Boland, Paula L.","State Assembly","38",1992-12-07,1994-11-30
"067","Bornstein, Julie","State Assembly","80",1992-12-07,1994-11-30
"069","Bowen, Debra","State Assembly","53",1992-12-07,1994-11-30
"070","Bowler, Larry","State Assembly","10",1992-12-07,1994-11-30
"075","Bronshvag, Vivien","State Assembly","6",1992-12-07,1994-11-30
"080","Brown, Valerie","State Assembly","7",1992-12-07,1994-11-30
"083","Brulte, James L.","State Assembly","63",1992-12-03,1994-11-30
"087","Bustamante, Cruz M.","State Assembly","31",1993-04-29,1994-11-30
"090","Caldera, Louis","State Assembly","46",1992-12-07,1994-11-30
"101","Cannella, Sal","State Assembly","26",1992-12-07,1994-11-30
"123","Collins, B.T","State Assembly","5",1992-12-07,1993-03-19
"126","Connolly, Tom","State Assembly","77",1992-12-07,1994-11-30
"127","Conroy, Mickey","State Assembly","71",1992-12-07,1994-11-30
"175","Escutia, Martha M.","State Assembly","50",1992-12-07,1994-11-30
"195","Friedman, Barbara","State Assembly","40",1992-12-07,1994-11-30
"220","Goldsmith, Jan","State Assembly","75",1992-12-07,1994-11-30
"227","Gotch, Mike","State Assembly","76",1992-12-07,1994-11-30
"253","Haynes, Ray","State Assembly","66",1992-12-07,1994-11-30
"260","Hoge, Bill","State Assembly","44",1992-12-07,1994-11-30
"264","Honeycutt, Kathleen M.","State Assembly","34",1992-12-07,1994-11-30
"265","Horcher, Paul V.","State Assembly","60",1992-12-07,1994-11-30
"292","Karnette, Betty","State Assembly","54",1992-12-07,1994-11-30
"303","Knight, Wm. Pete","State Assembly","36",1992-12-07,1994-11-30
"304","Knowles, David","State Assembly","4",1992-12-07,1994-11-30
"320","Lee, Barbara","State Assembly","16",1992-12-07,1994-11-30
"354","Martinez, Diane","State Assembly","49",1992-12-07,1994-11-30
"367","McDonald, Juanita M.","State Assembly","55",1992-12-07,1994-11-30
"369","McPherson, Bruce","State Assembly","27",1993-11-14,1994-11-30
"384","Morrow, Bill","State Assembly","73",1992-12-07,1994-11-30
"395","Napolitano, Grace M.","State Assembly","58",1992-12-07,1994-11-30
"438","Rainey, Richard K.","State Assembly","15",1992-12-07,1994-02-18
"443","Richter, Bernie","State Assembly","3",1992-12-07,1994-02-18
"450","Rogan, James E.","State Assembly","43",1994-05-03,1994-11-30
"469","Seastrand, Andrea","State Assembly","33",1992-12-07,1994-02-18
"482","Snyder, Margaret E.","State Assembly","25",1992-12-07,1994-02-18
"483","Solis, Hilda","State Assembly","57",1992-12-07,1994-02-18
"500","Takasugi, Nao","State Assembly","37",1992-12-07,1994-02-18
"515","Umberg, Thomas","State Assembly","69",1992-12-04,1994-11-30
"534","Weggeland, Ted","State Assembly","64",1992-12-07,1994-02-18
"003","Ackerman, Dick","State Assembly","72",1995-09-13,1996-11-30
"009","Aguiar, Fred","State Assembly","61",1994-12-05,1996-11-30
"012","Alby, Barbara","State Assembly","5",1994-12-05,1996-11-30
"017","Alpert, Dede","State Assembly","78",1994-12-05,1996-11-30
"024","Archie-Hudson, Marguerite","State Assembly","48",1994-12-05,1996-11-30
"029","Baca, Joe","State Assembly","62",1994-12-05,1996-11-30
"034","Baldwin, Steve","State Assembly","77",1994-12-05,1996-11-30
"039","Battin, Jim","State Assembly","80",1994-12-05,1996-11-30
"041","Baugh, Scott","State Assembly","67",1994-12-05,1996-11-30
"063","Boland, Paula L.","State Assembly","38",1994-12-05,1996-11-30
"066","Bordonaro, Tom Jr.","State Assembly","33",1994-12-05,1996-11-30
"069","Bowen, Debra","State Assembly","53",1994-12-05,1996-11-30
"070","Bowler, Larry","State Assembly","10",1994-12-05,1996-11-30
"073","Brewer, Marilyn C.","State Assembly","70",1994-12-05,1996-11-30
"080","Brown, Valerie","State Assembly","7",1994-12-05,1996-11-30
"083","Brulte, James L.","State Assembly","63",1994-12-05,1996-11-30
"087","Bustamante, Cruz M.","State Assembly","31",1994-12-05,1996-11-30
"090","Caldera, Louis","State Assembly","46",1994-12-05,1996-11-30
"101","Cannella, Sal","State Assembly","26",1994-12-05,1996-11-30
"127","Conroy, Mickey","State Assembly","71",1994-12-05,1996-11-30
"139","Cunneen, James F. \"Jim\"","State Assembly","24",1994-12-05,1996-11-30
"149","Davis, Susan A.","State Assembly","76",1994-12-05,1996-11-30
"161","Ducheny, Denise Moreno","State Assembly","79",1994-12-05,1996-11-30
"175","Escutia, Martha M.","State Assembly","50",1994-12-05,1996-11-30
