"Id","Name","Birth","Party","District","Other terms","Race","White","Hispanic","Black","Asian","Female","Function","Beginning term","End of term","End Type","Exit","Next occupation","Term"
"488","Statham, Stan","04/07/1939","R",1,NA,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,1980-12-05,1982-11-30,"On time","Reelection","Reelected",1980
"068","Bosco, Douglas H.","07/28/1946","D",2,NA,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,1980-12-05,1982-11-30,"On time","Not seek reelection","USR candidate",1980
"254","Herger, Wally","05/20/1945","R",3,NA,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,1980-12-05,1982-11-30,"On time","Reelection","Reelected",1980
"240","Hannigan, Thomas M.","05/30/1940","D",4,NA,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,1980-12-05,1982-11-30,"On time","Reelection","Reelected",1980
"163","Duffy, Jean Moorehead","12/17/1938","R",5,NA,"W",TRUE,FALSE,FALSE,FALSE,TRUE,NA,1980-12-05,1982-11-30,"On time","Reelection","Reelected",1980
"231","Greene, Leroy F.","01/31/1918","D",6,NA,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,1980-12-06,1982-11-30,"On time","Not seek reelection","State Senate candidate",1980
"531","Waters, Norman S.","07/01/1925","D",7,NA,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,1980-12-05,1982-11-30,"On time","Reelection","Reelected",1980
"471","Sebastiani, Don","02/15/1953","R",8,NA,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,1980-12-05,1982-11-30,"On time","Reelection","Reelected",1980
"182","Filante, William J. \"Bill\"","10/22/1929","R",9,NA,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,1980-12-05,1982-11-30,"On time","Reelection","Reelected",1980
"033","Baker, William P. (Bill)","06/14/1940","R",10,NA,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,1980-12-05,1982-11-30,"On time","Reelection","Reelected",1980
"098","Campbell, Robert J. \"Bob\"","12/20/1937","D",11,NA,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,1980-12-05,1982-11-30,"On time","Reelection","Reelected",1980
"038","Bates, Tom","02/09/1938","D",12,NA,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,1980-12-05,1982-11-30,"On time","Reelection","Reelected",1980
"245","Harris, Elihu M.","08/15/1947","D",13,NA,"B",FALSE,FALSE,TRUE,FALSE,FALSE,NA,1980-12-05,1982-11-30,"On time","Reelection","Reelected",1980
"335","Lockyer, Bill","05/08/1941","D",14,NA,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,1980-12-05,1982-11-30,"On time","Not seek reelection","USR candidate",1980
"351","Marguth, Gilbert R. Jr. \"Gib\"","03/04/1934","R",15,NA,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,1980-12-05,1982-11-30,"On time","Reelection","Defeated",1980
"007","Agnos, Art","09/01/1938","D",16,NA,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,1980-12-05,1982-11-30,"On time","Reelection","Reelected",1980
"081","Brown, Willie L. Jr.","03/20/1934","D",17,NA,"B",FALSE,FALSE,TRUE,FALSE,FALSE,NA,1980-12-05,1982-11-30,"On time","Reelection","Reelected",1980
"364","McCarthy, Leo T.","08/15/1930","D",18,NA,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,1980-12-05,1982-11-30,"On time","Not seek reelection","Executive candidate",1980
"418","Papan, Louis","08/02/1928","D",19,NA,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,1980-12-05,1982-11-30,"On time","Reelection","Reelected",1980
"398","Naylor, Robert W.","01/21/1944","R",20,NA,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,1980-12-05,1982-11-30,"On time","Reelection","Reelected",1980
"475","Sher, Byron","02/07/1928","D",21,NA,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,1980-12-05,1982-11-30,"On time","Reelection","Reelected",1980
"306","Konnyu, Ernest L.","05/17/1937","R",22,NA,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,1980-12-05,1982-11-30,"On time","Reelection","Reelected",1980
"518","Vasconcellos, John","05/11/1932","D",23,NA,"H",FALSE,TRUE,FALSE,FALSE,FALSE,NA,1980-12-05,1982-11-30,"On time","Reelection","Reelected",1980
"134","Cortese, Dominic L. \"Dom\"","09/27/1932","D",24,NA,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,1980-12-05,1982-11-30,"On time","Reelection","Reelected",1980
"362","McAlister, Alister","11/10/1929","D",25,NA,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,1980-12-05,1982-11-30,"On time","Reelection","Reelected",1980
"189","Fondse, Adrian C.","11/30/1929","R",26,NA,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,1980-12-05,1981-01-05,"Early","Overturned",NA,1980
"284","Johnston, Pat","09/03/1946","D",26,NA,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,1981-01-05,1982-11-30,"On time","Reelection","Reelected",1980
"505","Thurman, John E. Jr.","05/06/1919","D",27,NA,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,1980-12-05,1982-11-30,"On time",NA,NA,1980
"177","Farr, Sam","07/04/1941","D",28,NA,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,1980-12-05,1982-11-30,"On time","Reelection","Reelected",1980
"238","Hallett, Carol","10/16/1937","R",29,NA,"W",TRUE,FALSE,FALSE,FALSE,TRUE,NA,1980-12-06,1982-11-30,"On time","Reelection","Defeated",1980
"135","Costa, Jim","04/13/1952","D",30,NA,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,1980-12-05,1982-11-30,"On time","Reelection","Reelected",1980
