"Id","Name","Birth","Party","District","Other terms","Race","White","Hispanic","Black","Asian","Female","Function","Beginning term","End of term","End Type","Exit","Next occupation","Term"
"321","Lehman, Richard","07/20/1948","D",31,NA,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,1980-12-05,1982-06-01,"Early","Legislative campaign","USR candidate",1980
"162","Duffy, Gordon W.","04/24/1924","R",32,NA,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,1980-12-05,1982-11-30,"On time","Not seek reelection","Executive candidate",1980
"451","Rogers, Don","04/22/1928","R",33,NA,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,1980-12-05,1982-11-30,"On time","Reelection","Reelected",1980
"550","Wyman, Phil","02/21/1945","R",34,NA,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,1980-12-05,1982-11-30,"On time","Reelection","Reelected",1980
"246","Hart, Gary K.","08/13/1943","D",35,NA,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,1980-12-05,1982-11-30,"On time","Not seek reelection","State Senate candidate",1980
"276","Imbrecht, Charles R.","02/04/1949","R",36,NA,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,1980-12-05,1982-11-30,"On time","Reelection","Defeated",1980
"547","Wright, Cathie","05/18/1929","R",37,NA,"W",TRUE,FALSE,FALSE,FALSE,TRUE,NA,1980-12-05,1982-11-30,"On time","Reelection","Reelected",1980
"311","La Follette, Marian W.","09/19/1926","R",38,NA,"W",TRUE,FALSE,FALSE,FALSE,TRUE,NA,1980-12-05,1982-11-30,"On time","Reelection","Reelected",1980
"293","Katz, Richard","08/16/1950","D",39,NA,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,1980-12-05,1982-11-30,"On time","Reelection","Reelected",1980
"035","Bane, Tom","12/28/1913","D",40,NA,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,1980-12-05,1982-11-30,"On time","Reelection","Reelected",1980
"404","Nolan, Patrick J.","06/16/1950","R",41,NA,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,1980-12-05,1982-11-30,"On time","Reelection","Reelected",1980
"280","Ivers, William H. \"Bill\"","05/16/1930","R",42,NA,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,1980-12-05,1982-11-30,"On time","Reelection","Defeated",1980
"049","Berman, Howard L.","04/15/1941","D",43,NA,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,1980-12-05,1982-11-30,"On time","Not seek reelection","USR candidate",1980
"326","Levin, Meldon E.","06/07/1943","D",44,NA,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,1980-12-05,1982-11-30,"On time","Not seek reelection","USR candidate",1980
"454","Rosenthal, Herschel","03/13/1918","D",45,NA,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,1980-12-05,1982-11-30,"On time","Not seek reelection","State Senate candidate",1980
"453","Roos, Michael","08/06/1945","D",46,NA,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,1980-12-05,1982-11-30,"On time","Reelection","Reelected",1980
"274","Hughes, Teresa","10/03/1931","D",47,NA,"H",FALSE,TRUE,FALSE,FALSE,TRUE,NA,1980-12-05,1982-11-30,"On time","Reelection","Reelected",1980
"530","Waters, Maxine","08/15/1938","D",48,NA,"B",FALSE,FALSE,TRUE,FALSE,TRUE,NA,1980-12-05,1982-11-30,"On time","Reelection","Reelected",1980
"381","Moore, Gwen","10/01/1943","D",49,NA,"B",FALSE,FALSE,TRUE,FALSE,TRUE,NA,1980-12-05,1982-11-30,"On time","Reelection","Reelected",1980
"513","Tucker, Curtis R.","03/26/1918","D",50,NA,"B",FALSE,FALSE,TRUE,FALSE,FALSE,NA,1980-12-05,1982-11-30,"On time","Reelection","Reelected",1980
"460","Ryan, Marilyn","11/30/1932","R",51,NA,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,1980-12-05,1982-11-30,"On time",NA,NA,1980
"178","Felando, Gerald N.","12/29/1934","R",52,NA,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,1980-12-05,1982-11-30,"On time","Reelection","Reelected",1980
"188","Floyd, Richard E. \"Dick\"","02/03/1931","D",53,NA,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,1980-12-05,1982-11-30,"On time","Reelection","Reelected",1980
"519","Vicencia, Frank","08/23/1931","D",54,NA,"H",FALSE,TRUE,FALSE,FALSE,FALSE,NA,1980-12-05,1982-11-30,"On time","Reelection","Reelected",1980
"011","Alatorre, Richard","05/15/1943","D",55,NA,"H",FALSE,TRUE,FALSE,FALSE,FALSE,NA,1980-12-05,1982-11-30,"On time","Reelection","Reelected",1980
"509","Torres, Art","09/24/1946","D",56,NA,"H",FALSE,TRUE,FALSE,FALSE,FALSE,NA,1980-12-05,1982-11-30,"On time","Not seek reelection","State Senate candidate",1980
"171","Elder, Dave","02/10/1942","D",57,NA,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,1980-12-05,1982-11-30,"On time","Reelection","Reelected",1980
"079","Brown, Dennis L.",NA,"R",58,NA,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,1980-12-05,1982-11-30,"On time","Reelection","Reelected",1980
"355","Martinez, Matthew G. \"Marty\"","02/14/1929","D",59,NA,"H",FALSE,TRUE,FALSE,FALSE,FALSE,NA,1980-12-05,1982-07-15,"Early","Legislative campaign","USR candidate",1980
"502","Tanner, Sally","12/28/1926","D",60,NA,"W",TRUE,FALSE,FALSE,FALSE,TRUE,NA,1980-12-05,1982-11-30,"On time","Reelection","Reelected",1980
"386","Mountjoy, Richard \"Dick\"","01/13/1932","R",61,NA,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,1980-12-05,1982-11-30,"On time","Reelection","Reelected",1980
"316","Lancaster, William H.\"Bill\"","04/29/1931","R",62,NA,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,1980-12-05,1982-11-30,"On time","Reelection","Reelected",1980
"553","Young, Bruce E.","07/05/1946","D",63,NA,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,1980-12-05,1982-11-30,"On time","Reelection","Reelected",1980
"495","Striling, Dave","09/27/1940","R",64,NA,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,1980-12-05,1982-11-30,"On time",NA,"State Board",1980
"138","Cramer, Jim","10/14/1931","D",65,NA,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,1980-12-05,1982-11-30,"On time","Reelection","Defeated",1980
"218","Goggin, Terry","11/08/1941","D",66,NA,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,1980-12-05,1982-11-30,"On time","Reelection","Reelected",1980
"324","Leonard, Bill","10/29/1947","R",67,NA,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,1980-12-05,1982-11-30,"On time","Reelection","Reelected",1980
"277","Ingalls, Walter M.","10/17/1944","D",68,NA,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,1980-12-05,1982-11-30,"On time",NA,"State Board",1980
"283","Johnson, Ross","09/28/1939","R",69,NA,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,1980-12-05,1982-11-30,"On time","Reelection","Reelected",1980
"329","Lewis, John R.","11/02/1954","R",70,NA,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,1980-12-05,1982-11-30,"On time","Reelection","Reelected",1980
"546","Wray, Chester B. \"Chet\"","05/26/1923","D",71,NA,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,1980-12-05,1982-11-30,"On time","Reelection","Defeated",1980
"448","Robinson, Richard","05/17/1943","D",72,NA,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,1980-12-05,1982-11-30,"On time","Reelection","Reelected",1980
"198","Frizzelle, Nolan","10/16/1921","R",73,NA,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,1980-12-05,1982-11-30,"On time","Reelection","Reelected",1980
"048","Bergeson, Marian","08/31/1925","R",74,NA,"W",TRUE,FALSE,FALSE,FALSE,TRUE,NA,1980-12-05,1982-11-30,"On time","Reelection","Reelected",1980
"297","Kelley, Dave","10/11/1928","R",75,NA,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,1980-12-05,1982-11-30,"On time","Reelection","Reelected",1980
"193","Frazee, Robert C. (Bob)","09/01/1928","R",76,NA,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,1980-12-05,1982-11-30,"On time","Reelection","Reelected",1980
"491","Stirling, Larry","02/20/1942","R",77,NA,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,1980-12-05,1982-11-30,"On time","Reelection","Reelected",1980
"291","Kapiloff, Lawrence","09/22/1929","D",78,NA,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,1980-12-05,1982-09-03,"Early","Resignation","Judge",1980
"108","Chacon, Peter R.","06/10/1925","D",79,NA,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,1980-12-05,1982-11-30,"On time","Reelection","Reelected",1980
"152","Deddeh, Wadie P.","09/06/1920","D",80,NA,"A",FALSE,FALSE,FALSE,TRUE,FALSE,NA,1980-12-05,1982-11-30,"On time","Not seek reelection","State Senate candidate",1980
"488","Statham, Stan","04/07/1939","R",1,NA,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,1982-12-06,1984-11-30,"On time","Reelection","Reelected",1982
"248","Hauser, Dan","06/18/1942","D",2,NA,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,1982-12-06,1984-11-30,"On time","Reelection","Reelected",1982
"254","Herger, Wally","05/20/1945","R",3,NA,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,1982-12-06,1984-11-30,"On time","Reelection","Reelected",1982
"240","Hannigan, Thomas M.","05/30/1940","D",4,NA,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,1982-12-06,1984-11-30,"On time","Reelection","Reelected",1982
"163","Duffy, Jean Moorehead","12/17/1938","D",5,NA,"W",TRUE,FALSE,FALSE,FALSE,TRUE,NA,1982-12-06,1984-11-30,"On time","Reelection","Reelected",1982
"125","Connelly, Lloyd G.","12/31/1945","D",6,NA,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,1982-12-06,1984-11-30,"On time","Reelection","Reelected",1982
"531","Waters, Norman S.","07/01/1925","D",7,NA,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,1982-12-06,1984-11-30,"On time","Reelection","Reelected",1982
"471","Sebastiani, Don","02/15/1953","R",8,NA,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,1982-12-06,1984-11-30,"On time","Reelection","Reelected",1982
"182","Filante, William J. \"Bill\"","10/22/1929","R",9,NA,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,1982-12-06,1984-11-30,"On time","Reelection","Reelected",1982
"279","Isenberg, Phillip","02/25/1939","D",10,NA,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,1982-12-06,1984-11-30,"On time","Reelection",NA,1982
"098","Campbell, Robert J. \"Bob\"","12/20/1937","D",11,NA,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,1982-12-06,1984-11-30,"On time","Reelection","Reelected",1982
"038","Bates, Tom","02/09/1938","D",12,NA,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,1982-12-06,1984-11-30,"On time","Reelection","Reelected",1982
"245","Harris, Elihu M.","08/15/1947","D",13,NA,"B",FALSE,FALSE,TRUE,FALSE,FALSE,NA,1982-12-06,1984-11-30,"On time","Reelection","Reelected",1982
"301","Klehs, Johan","01/01/1952","D",14,NA,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,1982-12-06,1984-11-30,"On time","Reelection","Reelected",1982
"033","Baker, William P. (Bill)","06/14/1940","R",15,NA,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,1982-12-06,1984-11-30,"On time","Reelection","Reelected",1982
"007","Agnos, Art","09/01/1938","D",16,NA,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,1982-12-06,1984-11-30,"On time","Reelection","Reelected",1982
"081","Brown, Willie L. Jr.","03/20/1934","D",17,NA,"B",FALSE,FALSE,TRUE,FALSE,FALSE,NA,1982-12-06,1984-11-30,"On time","Reelection","Reelected",1982
"362","McAlister, Alister","11/10/1929","D",18,NA,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,1982-12-06,1984-11-30,"On time","Reelection","Reelected",1982
"418","Papan, Louis","08/02/1928","D",19,NA,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,1982-12-01,1984-11-30,"On time","Reelection","Reelected",1982
"398","Naylor, Robert W.","01/21/1944","R",20,NA,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,1982-12-06,1984-11-30,"On time","Reelection","Reelected",1982
"475","Sher, Byron","02/07/1928","D",21,NA,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,1982-12-06,1984-11-30,"On time","Reelection","Reelected",1982
"306","Konnyu, Ernest L.","05/17/1937","R",22,NA,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,1982-12-06,1984-11-30,"On time","Reelection","Reelected",1982
"518","Vasconcellos, John","05/11/1932","D",23,NA,"H",FALSE,TRUE,FALSE,FALSE,FALSE,NA,1982-12-06,1984-11-30,"On time","Reelection","Reelected",1982
"134","Cortese, Dominic L. \"Dom\"","09/27/1932","D",24,NA,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,1982-12-06,1984-11-30,"On time","Reelection","Reelected",1982
"025","Areias, Rusty","09/12/1949","D",25,NA,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,1982-12-06,1984-11-30,"On time","Reelection","Reelected",1982
"284","Johnston, Pat","09/03/1946","D",26,NA,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,1982-12-06,1984-11-30,"On time","Reelection","Reelected",1982
"124","Condit, Gary A.","04/21/1948","D",27,NA,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,1982-12-06,1984-11-30,"On time","Reelection","Reelected",1982
"177","Farr, Sam","07/04/1941","D",28,NA,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,1982-12-06,1984-11-30,"On time","Reelection","Reelected",1982
"470","Seastrand, Eric","02/07/1938","R",29,NA,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,1982-12-06,1984-11-30,"On time","Reelection","Reelected",1982
"135","Costa, Jim","04/13/1952","D",30,NA,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,1982-12-06,1984-11-30,"On time","Reelection","Reelected",1982
"076","Bronzan, Bruce","09/28/1947","D",31,NA,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,1982-12-06,1984-11-30,"On time","Reelection","Reelected",1982
"286","Jones, Bill","12/20/1949","R",32,NA,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,1982-12-06,1984-11-30,"On time","Reelection","Reelected",1982
"451","Rogers, Don","04/22/1928","R",33,NA,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,1982-12-06,1984-11-30,"On time","Reelection","Reelected",1982
"550","Wyman, Phil","02/21/1945","R",34,NA,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,1982-12-06,1984-11-30,"On time","Reelection","Reelected",1982
"406","O'Connell, Jack","10/08/1951","D",35,NA,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,1982-12-06,1984-11-30,"On time","Reelection","Reelected",1982
"366","McClintock, Tom","07/10/1956","R",36,NA,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,1982-12-06,1984-11-30,"On time","Reelection","Reelected",1982
"547","Wright, Cathie","05/18/1929","R",37,NA,"W",TRUE,FALSE,FALSE,FALSE,TRUE,NA,1982-12-06,1984-11-30,"On time","Reelection","Reelected",1982
"311","La Follette, Marian W.","09/19/1926","R",38,NA,"W",TRUE,FALSE,FALSE,FALSE,TRUE,NA,1982-12-06,1984-11-30,"On time","Reelection","Reelected",1982
"293","Katz, Richard","08/16/1950","D",39,NA,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,1982-12-06,1984-11-30,"On time","Reelection","Reelected",1982
"035","Bane, Tom","12/28/1913","D",40,NA,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,1982-12-06,1984-11-30,"On time","Reelection","Reelected",1982
"404","Nolan, Patrick J.","06/16/1950","R",41,NA,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,1982-12-06,1984-11-30,"On time","Reelection","Reelected",1982
"386","Mountjoy, Richard \"Dick\"","01/13/1932","R",42,NA,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,1982-12-06,1984-11-30,"On time","Reelection","Reelected",1982
"147","Davis, Gray","12/26/1942","D",43,NA,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,1982-12-06,1984-11-30,"On time","Reelection","Reelected",1982
"252","Hayden, Tom","12/11/1939","D",44,NA,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,1982-12-06,1984-11-30,"On time","Reelection","Reelected",1982
"350","Margolin, Burt M.","09/28/1950","D",45,NA,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,1982-12-06,1984-11-30,"On time","Reelection","Reelected",1982
"453","Roos, Michael","08/06/1945","D",46,NA,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,1982-12-06,1984-11-30,"On time","Reelection","Reelected",1982
"274","Hughes, Teresa","10/03/1931","D",47,NA,"H",FALSE,TRUE,FALSE,FALSE,TRUE,NA,1982-12-06,1984-11-30,"On time","Reelection","Reelected",1982
"530","Waters, Maxine","08/15/1938","D",48,NA,"B",FALSE,FALSE,TRUE,FALSE,TRUE,NA,1982-12-06,1984-11-30,"On time","Reelection","Reelected",1982
"381","Moore, Gwen","10/01/1943","D",49,NA,"B",FALSE,FALSE,TRUE,FALSE,TRUE,NA,1982-12-06,1984-11-30,"On time","Reelection","Reelected",1982
"513","Tucker, Curtis R.","03/26/1918","D",50,NA,"B",FALSE,FALSE,TRUE,FALSE,FALSE,NA,1982-12-06,1984-11-30,"On time","Reelection","Reelected",1982
"178","Felando, Gerald N.","12/29/1934","R",51,NA,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,1982-12-06,1984-11-30,"On time","Reelection","Reelected",1982
"258","Hill, Frank","02/19/1954","R",52,NA,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,1982-12-06,1984-11-30,"On time","Reelection","Reelected",1982
"188","Floyd, Richard E. \"Dick\"","02/03/1931","D",53,NA,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,1982-12-06,1984-11-30,"On time","Reelection","Reelected",1982
"519","Vicencia, Frank","08/23/1931","D",54,NA,"H",FALSE,TRUE,FALSE,FALSE,FALSE,NA,1982-12-06,1984-11-30,"On time","Reelection","Reelected",1982
"011","Alatorre, Richard","05/15/1943","D",55,NA,"H",FALSE,TRUE,FALSE,FALSE,FALSE,NA,1982-12-06,1984-11-30,"On time","Reelection","Reelected",1982
"378","Molina, Gloria","05/31/1948","D",56,NA,"H",FALSE,TRUE,FALSE,FALSE,TRUE,NA,1982-12-06,1984-11-30,"On time","Reelection","Reelected",1982
"171","Elder, Dave","02/10/1942","D",57,NA,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,1982-12-06,1984-11-30,"On time","Reelection","Reelected",1982
"079","Brown, Dennis L.",NA,"R",58,NA,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,1982-12-06,1984-11-30,"On time","Reelection","Reelected",1982
"091","Calderon, Charles M.","03/12/1950","D",59,NA,"H",FALSE,TRUE,FALSE,FALSE,FALSE,NA,1982-12-06,1984-11-30,"On time","Reelection","Reelected",1982
"502","Tanner, Sally","12/28/1926","D",60,NA,"W",TRUE,FALSE,FALSE,FALSE,TRUE,NA,1982-12-06,1984-11-30,"On time","Reelection","Reelected",1982
"324","Leonard, Bill","10/29/1947","R",61,NA,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,1982-12-06,1984-11-30,"On time","Reelection","Reelected",1982
"316","Lancaster, William H.\"Bill\"","04/29/1931","R",62,NA,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,1982-12-06,1984-11-30,"On time","Reelection","Reelected",1982
"553","Young, Bruce E.","07/05/1946","D",63,NA,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,1982-12-06,1984-11-30,"On time",NA,NA,1982
"283","Johnson, Ross","09/28/1939","R",64,NA,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,1982-12-06,1984-11-30,"On time","Reelection","Reelected",1982
"031","Bader, Charles W.","01/01/1940","R",65,NA,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,1982-12-06,1984-11-30,"On time","Reelection","Reelected",1982
"218","Goggin, Terry","11/08/1941","D",66,NA,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,1982-12-06,1984-11-30,"On time","Reelection","Defeated",1982
"329","Lewis, John R.","11/02/1954","R",67,NA,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,1982-12-06,1984-11-30,"On time","Reelection","Reelected",1982
"120","Clute, Steve","12/08/1948","D",68,NA,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,1982-12-06,1984-11-30,"On time","Reelection","Reelected",1982
"198","Frizzelle, Nolan","10/16/1921","R",69,NA,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,1982-12-06,1984-11-30,"On time","Reelection","Reelected",1982
"048","Bergeson, Marian","08/31/1925","R",70,NA,"W",TRUE,FALSE,FALSE,FALSE,TRUE,NA,1982-12-06,1984-11-30,"On time","Not seek reelection","State Senate candidate",1982
"014","Allen, Doris","05/26/1936","R",71,NA,"W",TRUE,FALSE,FALSE,FALSE,TRUE,NA,1982-12-06,1984-11-30,"On time","Reelection","Reelected",1982
"448","Robinson, Richard","05/17/1943","D",72,NA,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,1982-12-06,1984-11-30,"On time","Reelection","Reelected",1982
