"Id","Name","Birth","Party","District","Race","White","Hispanic","Black","Asian","Female","Function","Beginning term","End of term","Term","End Type","Exit","Next occupation"
"137","Cox, Dave","02/20/1938","R",1,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,2008-12-01,2010-07-13,2008,"Early","Die",NA
"412","Oropeza, Jenny","09/27/1957","D",28,"H",FALSE,TRUE,FALSE,FALSE,TRUE,NA,2006-12-04,2010-10-20,2006,"Early","Die",NA
"458","Runner, Sharon","05/17/1954","R",21,"W",TRUE,FALSE,FALSE,FALSE,TRUE,NA,2015-03-19,2016-07-14,2012,"Early","Die",NA
"206","Gaines, Ted","04/25/1958","R",1,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,2016-12-05,2019-01-07,2016,"Early","Executive campaign","State Board"
"317","Lara, Ricardo","11/05/1974","D",33,"H",FALSE,TRUE,FALSE,FALSE,FALSE,NA,2016-12-05,2019-01-07,2016,"Early","Executive campaign","Insurance Commissioner"
"347","Maldonado, Abel","08/21/1967","R",15,"H",FALSE,TRUE,FALSE,FALSE,FALSE,NA,2008-12-01,2010-04-27,2008,"Early","Executive campaign","Lieutenant Governor candidate"
"457","Runner, George","03/25/1952","R",17,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,2008-12-01,2010-12-21,2008,"Early","Executive campaign","State Board"
"583","Stone, Jeff","01/30/1956","R",28,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,2018-12-03,2019-11-01,2018,"Early","Executive campaign","US government"
"097","Campbell, John","07/19/1955","R",35,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,2004-12-06,2005-12-06,2004,"Early","Legislative campaign","USR candidate"
"153","DeSaulnier, Mark","03/31/1952","D",7,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,2012-12-03,2015-01-02,2012,"Early","Legislative campaign","USR candidate"
"302","Knight, Steve","12/17/1966","R",21,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,2012-12-03,2015-01-03,2012,"Early","Legislative campaign","USR candidate"
"312","La Malfa, Doug","07/02/1960","R",4,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,2010-12-06,2012-08-31,2010,"Early","Legislative campaign","USR candidate"
"571","Lieu, Ted W.","03/29/1969","D",28,"A",FALSE,FALSE,FALSE,TRUE,FALSE,NA,2011-02-18,2014-11-30,2010,"Early","Legislative campaign","USR candidate"
"368","McLeod, Gloria Negrete","09/06/1941","D",32,"H",FALSE,TRUE,FALSE,FALSE,TRUE,NA,2010-12-06,2013-01-02,2010,"Early","Legislative campaign","USR candidate"
"517","Vargas, Juan","03/07/1961","D",40,"H",FALSE,TRUE,FALSE,FALSE,FALSE,NA,2010-12-06,2013-01-02,2010,"Early","Legislative campaign","USR candidate"
"527","Walters, Mimi","05/14/1962","R",37,"W",TRUE,FALSE,FALSE,FALSE,TRUE,NA,2012-12-03,2015-01-03,2012,"Early","Legislative campaign","USR candidate"
"376","Mitchell, Holly","09/07/1964","D",30,"B",FALSE,FALSE,TRUE,FALSE,TRUE,NA,2018-12-03,2012-11-30,2018,"Early","Local campaign","BS candidate"
"433","Price, Curren","12/16/1950","D",26,"B",FALSE,FALSE,TRUE,FALSE,FALSE,NA,2010-12-06,2013-07-01,2010,"Early","Local campaign","CC candidate"
"444","Ridley-Thomas, Mark","11/06/1954","D",26,"B",FALSE,FALSE,TRUE,FALSE,FALSE,NA,2006-12-04,2008-11-30,2006,"Early","Local campaign","BS candidate"
"458","Runner, Sharon","05/17/1954","R",17,"W",TRUE,FALSE,FALSE,FALSE,TRUE,NA,2011-02-18,2012-12-03,2010,"Early",NA,NA
"056","Block, Martin","06/28/1950","D",39,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,2012-12-03,2016-11-30,2012,"On time","Not seek reelection",NA
"176","Evans, Noreen","04/22/1955","D",2,"W",TRUE,FALSE,FALSE,FALSE,TRUE,NA,2010-12-06,2014-11-30,2010,"On time","Not seek reelection","Lawyer"
"207","Galgiani, Cathleen","01/04/1964","D",5,"W",TRUE,FALSE,FALSE,FALSE,TRUE,NA,2016-12-05,2020-11-30,2016,"On time","Not seek reelection","State Board"
"243","Harman, Tom","05/30/1941","R",35,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,2008-12-01,2012-11-30,2008,"On time","Not seek reelection","Attorney General candidate"
"373","Migden, Carole","08/14/1948","D",3,"W",TRUE,FALSE,FALSE,FALSE,TRUE,NA,2004-12-06,2008-11-30,2004,"On time","Not seek reelection","State Board"
"406","O'Connell, Jack","10/08/1951","D",18,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,1998-12-07,2002-11-30,1998,"On time","Not seek reelection","State Superintendent of Public Instruction"
"410","Oller, Thomas Rico","07/16/1958","R",1,"H",FALSE,TRUE,FALSE,FALSE,FALSE,NA,2000-12-04,2004-11-30,2000,"On time","Not seek reelection","USR candidate"
"494","Strickland, Tony","02/17/1970","R",19,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,2008-12-01,2012-11-30,2008,"On time","Not seek reelection","USR candidate"
"538","Wiggins, Pat","04/19/1940","D",2,"W",TRUE,FALSE,FALSE,FALSE,TRUE,NA,2006-12-04,2010-11-30,2006,"On time","Not seek reelection",NA
"121","Cogdill, Dave","12/31/1950","R",14,"W",TRUE,FALSE,FALSE,FALSE,FALSE,"Minority Leader",2006-12-04,2010-11-30,2006,"Early","Other campaign","Assessor"
"575","Newman, Josh","10/17/1964","D",29,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,2016-12-05,NA,2016,"Early","Recalled",NA
"001","Aanestad, Samuel","07/16/1946","R",4,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,2002-12-02,2006-11-30,2002,"On time","Reelection","Reelected"
"003","Ackerman, Dick","12/05/1942","R",33,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,2000-12-04,2004-11-30,2000,"On time","Reelection","Reelected"
"010","Alarcon, Richard","11/24/1953","D",20,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,1998-12-07,2002-11-30,1998,"On time","Reelection","Reelected"
"556","Allen, Ben","03/13/1978","D",26,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,2014-12-01,2018-11-30,2014,"On time","Reelection","Reelected"
"017","Alpert, Dede","10/06/1945","D",39,"W",TRUE,FALSE,FALSE,FALSE,TRUE,NA,1996-12-02,2000-11-30,1996,"On time","Reelection","Reelected"
"018","Alquist, Elaine","08/21/1944","D",13,"W",TRUE,FALSE,FALSE,FALSE,TRUE,NA,2004-12-06,2008-11-30,2004,"On time","Reelection","Reelected"
"021","Anderson, Joel","02/11/1960","R",36,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,2010-12-06,2014-11-30,2010,"On time","Reelection","Reelected"
"027","Ashburn, Roy","03/21/1954","R",18,"W",TRUE,FALSE,FALSE,FALSE,FALSE,NA,2002-12-02,2006-11-30,2002,"On time","Reelection","Reelected"
"028","Atkins, Toni","08/01/1962","D",39,"W",TRUE,FALSE,FALSE,FALSE,TRUE,NA,2016-12-05,2020-11-30,2016,"On time","Reelection","Reelected"
"037","Bates, Patricia","12/15/1939","R",36,"W",TRUE,FALSE,FALSE,FALSE,TRUE,NA,2014-12-01,2018-11-30,2014,"On time","Reelection","Reelected"
