Name; Birth;Party;District;Other terms;Race;White;Hispanic;Black;Asian;Female;Function;Beginning term;End of term;End Type;Exit;Next occupation
Aanestad, Sam;07/16/1946;R;3;;W;1;0;0;0;0;;12/07/1998;11/30/2000;On time;Reelection;Reelected
Ackerman, Dick;12/05/1942;R;72;;W;1;0;0;0;0;;12/07/1998;11/30/2000;On time;Reelection;Reelected
Alquist, Elaine White;08/21/1944;D;22;;W;1;0;0;0;1;;12/04/1998;11/30/2000;On time;Reelection;Reelected
Aroner, Dion Louise;06/06/1945;D;14;;W;1;0;0;0;1;;12/07/1998;11/30/2000;On time;Reelection;Reelected
Ashburn, Roy;03/21/1954;R;32;;W;1;0;0;0;0;;12/07/1998;11/30/2000;On time;Reelection;Reelected
Baldwin, Steve;06/16/1956;R;77;;W;1;0;0;0;0;;12/07/1998;11/30/2000;On time;Termed out;
Bates, Patricia;12/15/1939;R;73;;W;1;0;0;0;1;;12/07/1998;11/30/2000;On time;Reelection;Reelected
Battin, Jim;07/28/1962;R;80;;W;1;0;0;0;0;;12/07/1998;11/30/2000;On time;Termed out;
Baugh, Scott;07/04/1962;R;67;;W;1;0;0;0;0;;12/07/1998;11/30/2000;On time;Termed out;USR candidate
Bock, Audie;10/15/1946;D;16;;W;1;0;0;0;1;;04/05/1999;11/30/2000;On time;Reelection;Defeated
Brewer, Marilyn C.;05/26/1937;R;70;;W;1;0;0;0;1;;12/07/1998;11/30/2000;On time;Termed out;USR candidate
Briggs, mike;01/23/1959;R;29;;W;1;0;0;0;0;;12/07/1998;11/30/2000;On time;Reelection;Reelected
Calderon, Thomas M.;04/08/1954;D;58;;W;1;0;0;0;0;;12/07/1998;11/30/2000;On time;Reelection;Reelected
Campbell, Bill;04/08/1942;R;71;;W;1;0;0;0;0;;12/07/1998;11/30/2000;On time;Reelection;Reelected
Cardenas, Tony;03/31/1963;D;39;;H;0;1;0;0;0;;12/07/1998;11/30/2000;On time;Reelection;Reelected
Cardoza, Dennis;3/31/1959;D;26;;W;1;0;0;0;0;;12/07/1998;11/30/2000;On time;Reelection;Reelected
Cedillo, Gil;03/25/1954;D;46;;H;0;1;0;0;0;;12/07/1998;11/30/2000;On time;Reelection;Reelected
Corbett, Ellen;12/31/1954;D;18;;W;1;0;0;0;1;;12/07/1998;11/30/2000;On time;Reelection;Reelected
Correa, Lou;01/24/1958;D;69;;H;0;1;0;0;0;;12/07/1998;11/30/2000;On time;Reelection;Reelected
Cox, Dave;02/20/1938;R;5;;W;1;0;0;0;0;;12/07/1998;11/30/2000;On time;Reelection;Reelected
"Cunneen, James F. ""Jim""";05/24/1961;R;24;;W;1;0;0;0;0;;12/07/1998;11/30/2000;On time;Termed out;USR candidate
Davis, Susan A.;04/13/1944;D;76;;W;1;0;0;0;1;;12/07/1998;11/30/2000;On time;Termed out;USR candidate
Dickerson, Richard;07/07/1937;R;2;;W;1;0;0;0;0;;12/07/1998;11/30/2000;On time;Reelection;Reelected
Ducheny, Denise Moreno;03/21/1952;D;79;;H;0;1;0;0;1;;12/07/1998;11/30/2000;On time;Termed out;State Senate candidate
Dutra, John;10/15/1935;D;20;;W;1;0;0;0;0;;12/07/1998;11/30/2000;On time;Reelection;Reelected
Firebaugh, Marco Antonio;13/10/1966;D;50;;H;0;1;0;0;0;;12/07/1998;11/30/2000;On time;Reelection;Reelected
Florez, Dean;04/05/1963;D;30;;W;1;0;0;0;0;;12/07/1998;11/30/2000;On time;Reelection;Reelected
"Floyd, Richard E. ""Dick""";02/03/1931;D;55;;W;1;0;0;0;0;;12/07/1998;11/30/2000;On time;Termed out;State Senate candidate
Frusetta, Peter;07/06/1932;R;28;;W;1;0;0;0;0;;12/07/1998;11/30/2000;On time;Termed out;State Senate candidate
Gallegos, Martin;11/03/1956;D;57;;H;0;1;0;0;0;;12/07/1998;11/30/2000;On time;Termed out;State Senate candidate
Granlund, Brett;05/28/1954;R;65;;W;1;0;0;0;0;;12/07/1998;11/30/2000;On time;Termed out;
Havice, Sally;10/16/1937;D;56;;H;0;1;0;0;1;;12/07/1998;11/30/2000;On time;Reelection;Reelected
Hertzberg, Bob;11/19/1954;D;40;;W;1;0;0;0;0;;12/07/1998;11/30/2000;On time;Reelection;Reelected
Honda, Mike;06/27/1941;D;23;;A;0;0;0;1;0;;12/07/1998;11/30/2000;On time;Termed out;USR candidate
House, George;11/20/1929;R;25;;W;1;0;0;0;0;;12/07/1998;11/30/2000;On time;Termed out;
Jackson, Hannah-Beth;05/19/1950;D;35;;W;1;0;0;0;1;;12/07/1998;11/30/2000;On time;Reelection;Reelected
Kaloogian, Howard;12/30/1959;R;74;;A;0;0;0;1;0;;12/07/1998;11/30/2000;On time;Termed out;State Senate candidate
Keeley, Fred;05/09/1950;D;27;;W;1;0;0;0;0;;12/07/1998;11/30/2000;On time;Reelection;Reelected
Knox, Wally;02/07/1947;D;42;;W;1;0;0;0;0;;12/07/1998;11/30/2000;On time;Termed out;State Senate candidate
Kuehl, Sheila James;02/09/1941;D;41;;W;1;0;0;0;1;;12/07/1998;11/30/2000;On time;Termed out;
Leach, Lynne;01/08/1940;R;15;;W;1;0;0;0;1;;12/07/1998;11/30/2000;On time;Reelection;Reelected
Lempert, Ted;06/14/1961;D;21;;W;1;0;0;0;0;;12/07/1998;11/30/2000;On time;;
Leonard, Bill;10/29/1947;R;63;;W;1;0;0;0;0;;12/07/1998;11/30/2000;On time;Reelection;Reelected
Longville, John;09/21/1949;D;62;;W;1;0;0;0;0;;12/07/1998;11/30/2000;On time;Reelection;Reelected
Lowenthal, Alan;03/08/1941;D;54;;W;1;0;0;0;0;;12/07/1998;11/30/2000;On time;Reelection;Reelected
Machado, Mike;03/12/1948;D;17;;H;0;1;0;0;0;;12/07/1998;11/30/2000;On time;Termed out;State Senate candidate
Maddox, Ken;02/29/1964;R;68;;W;1;0;0;0;0;;12/07/1998;11/30/2000;On time;Reelection;Reelected
Maldonado, Abel;08/21/1967;R;33;;H;0;1;0;0;0;;12/07/1998;11/30/2000;On time;Reelection;Reelected
Margett, Bob;05/08/1929;R;59;;W;1;0;0;0;0;;12/07/1998;11/30/2000;On time;Termed out;State Senate candidate
Mazzoni, Kerry;01/09/1949;D;6;;W;1;0;0;0;1;;12/07/1998;11/30/2000;On time;Termed out;Secretary
McClintock, Tom;07/10/1956;R;38;;W;1;0;0;0;0;;12/07/1998;11/30/2000;On time;Termed out;State Senate candidate
Migden, Carole;08/14/1948;D;13;;W;1;0;0;0;1;;12/07/1998;11/30/2000;On time;Termed out;State Board of Equalization
Nakano, George;11/24/1935;D;53;;A;0;0;0;1;0;;12/07/1998;11/30/2000;On time;Reelection;Reelected
Olberg, Keith;10/29/1960;R;34;;A;0;0;0;1;0;;12/07/1998;11/30/2000;On time;Termed out;Executive candidate
Oller, Thomas Rico;07/16/1958;R;4;;H;0;1;0;0;0;;12/07/1998;11/30/2000;On time;Reelection;Reelected
Pacheco, Robert;06/10/1934;R;60;;H;0;1;0;0;0;;12/07/1998;11/30/2000;On time;Reelection;Reelected
Pacheco, Rod;05/07/1958;R;64;;H;0;1;0;0;0;;12/07/1998;11/30/2000;On time;Reelection;Reelected
Papan, Louis;08/02/1928;D;19;;W;1;0;0;0;0;;12/07/1998;11/30/2000;On time;Reelection;Reelected
Pescetti, Anthony;05/02/1951;R;10;;W;1;0;0;0;0;;12/07/1998;11/30/2000;On time;Reelection;Reelected
Reyes, Sarah;02/24/1961;D;31;;H;0;1;0;0;1;;12/07/1998;11/30/2000;On time;Reelection;Reelected
Romero, Gloria;07/10/1955;D;49;;W;1;0;0;0;1;;12/07/1998;11/30/2000;On time;Reelection;Reelected
Runner, George;03/25/1952;R;36;;W;1;0;0;0;0;;12/07/1998;11/30/2000;On time;Reelection;Reelected
Scott, Jack;08/24/1933;D;44;;W;1;0;0;0;0;;12/07/1998;11/30/2000;On time;Not seek reelection;State Senate candidate
Shelley, Kevin;11/16/1955;D;12;;W;1;0;0;0;0;;12/07/1998;11/30/2000;On time;Reelection;Reelected
Soto, Nell;06/18/1926;D;61;;H;0;1;0;0;1;;12/07/1998;11/30/2000;On time;Not seek reelection;State Senate candidate
Steinberg, Darrell;10/15/1959;D;9;;W;1;0;0;0;0;;12/07/1998;11/30/2000;On time;Reelection;Reelected
Strickland, Tony;02/17/1970;R;37;;W;1;0;0;0;0;;12/07/1998;11/30/2000;On time;Reelection;Reelected
Strom-Martin, Virginia;03/29/1948;D;1;;W;1;0;0;0;1;;12/07/1998;11/30/2000;On time;Reelection;Reelected
Thompson, Bruce;11/24/1953;R;66;;W;1;0;0;0;0;;12/07/1998;11/30/2000;On time;Termed out;
Thomson, Helen;06/08/1940;D;8;;W;1;0;0;0;1;;12/07/1998;11/30/2000;On time;Reelection;Reelected
Torlakson, Tom;07/19/1949;D;11;;W;1;0;0;0;0;;12/07/1998;11/30/2000;On time;Not seek reelection;State Senate candidate
