Name; Birth;Party;District;Other terms;Race;White;Hispanic;Black;Asian;Female;Function;Beginning term;End of term;End Type;Exit;Next occupation
Aguiar, Fred;12/03/1948;R;61;;H;0;1;0;0;0;;12/07/1992;11/30/1994;On time;Reelection;Reelected
Alby, Barbara;08/09/1946;R;5;;W;1;0;0;0;1;;07/30/1993;11/30/1994;On time;Reelection;Reelected
Allen, Doris;05/26/1936;R;67;;W;1;0;0;0;1;;12/07/1992;11/30/1994;On time;Reelection;Reelected
Alpert, Dede;10/06/1945;D;78;;W;1;0;0;0;1;;12/07/1992;11/30/1994;On time;Reelection;Reelected
Andal, Dean;10/23/1959;R;17;;W;1;0;0;0;0;;12/07/1992;11/30/1994;On time;Not seek reelection;California Board of Equalization
Archie-Hudson, Marguerite;11/18/1937;D;48;;W;1;0;0;0;1;;12/07/1992;11/30/1994;On time;Reelection;Reelected
Areias, Rusty;09/12/1949;D;28;;W;1;0;0;0;0;;12/07/1992;11/30/1994;On time;Not seek reelection;State Senate candidate
Baca, Joe;01/23/1947;D;62;;H;0;1;0;0;0;;12/07/1992;11/30/1994;On time;Reelection;Reelected
Bates, Tom;02/09/1938;D;14;;W;1;0;0;0;0;;12/07/1992;11/30/1994;On time;Reelection;Reelected
Boland, Paula L.;01/17/1940;R;38;;W;1;0;0;0;1;;12/07/1992;11/30/1994;On time;Reelection;Reelected
Bornstein, Julie;07/17/1938;D;80;;W;1;0;0;0;1;;12/07/1992;11/30/1994;On time;Reelection;Defeated
Bowen, Debra;10/27/1955;D;53;;W;1;0;0;0;1;;12/07/1992;11/30/1994;On time;Reelection;Reelected
Bowler, Larry;07/30/1939;R;10;;W;1;0;0;0;0;;12/07/1992;11/30/1994;On time;Reelection;Reelected
Bronshvag, Vivien;07/28/1942;D;6;;W;1;0;0;0;1;;12/07/1992;11/30/1994;On time;Reelection;Defeated
Bronzan, Bruce;09/28/1947;D;31;;W;1;0;0;0;0;;12/07/1992;01/01/1993;Early;Resignation;
Brown, Valerie;10/30/1954;D;7;;W;1;0;0;0;1;;12/07/1992;11/30/1994;On time;Reelection;Reelected
Brown, Willie L. Jr.;03/20/1934;D;13;;B;0;0;1;0;0;;12/07/1992;11/30/1994;On time;Reelection;Reelected
Brulte, James L.;04/13/1956;R;63;;W;1;0;0;0;0;;12/03/1992;11/30/1994;On time;Reelection;Reelected
Burton, John L.;12/15/1932;D;12;;W;1;0;0;0;0;;12/07/1992;11/30/1994;On time;Reelection;Reelected
Bustamante, Cruz M.;01/04/1953;D;31;;H;0;1;0;0;0;;04/29/1993;11/30/1994;On time;Reelection;Reelected
Caldera, Louis;04/01/1956;D;46;;H;0;1;0;0;0;;12/07/1992;11/30/1994;On time;Reelection;Reelected
"Campbell, Robert J. ""Bob""";12/20/1937;D;11;;W;1;0;0;0;0;;12/07/1992;11/30/1994;On time;Reelection;Reelected
Cannella, Sal;09/23/1942;D;26;;W;1;0;0;0;0;;12/07/1992;11/30/1994;On time;Reelection;Reelected
Collins, B.T;10/17/1940;R;5;;W;1;0;0;0;0;;12/07/1992;03/19/1993;Early;Die;
Connolly, Tom;05/12/1946;D;77;;W;1;0;0;0;0;;12/07/1992;11/30/1994;On time;Reelection;Defeated
Conroy, Mickey;11/01/1927;R;71;;W;1;0;0;0;0;;12/07/1992;11/30/1994;On time;Reelection;Reelected
"Cortese, Dominic L. ""Dom""";09/27/1932;D;23;;W;1;0;0;0;0;;12/07/1992;11/30/1994;On time;Reelection;Reelected
Costa, Jim;04/13/1952;D;30;;W;1;0;0;0;0;;12/07/1992;11/30/1994;On time;Not seek reelection;State Senate candidate
Eastin, Delaine;08/20/1947;D;20;;W;1;0;0;0;1;;12/07/1992;11/30/1994;On time;Not seek reelection;Executive candidate
Epple, Bob;11/18/1948;D;56;;W;1;0;0;0;0;;12/07/1992;11/30/1994;On time;Reelection;Defeated
Escutia, Martha M.;01/16/1957;D;50;;H;0;1;0;0;1;;12/07/1992;11/30/1994;On time;Reelection;Reelected
Farr, Sam;07/04/1941;D;27;;W;1;0;0;0;0;;12/07/1992;06/08/1993;Early;Legislative campaign;USR candidate
Ferguson, Gil;04/22/1923;R;70;;W;1;0;0;0;0;;12/07/1992;11/30/1994;On time;Not seek reelection;Retirement
"Frazee, Robert C. ""Bob""";09/01/1928;R;74;;W;1;0;0;0;0;;12/07/1992;11/30/1994;On time;Not seek reelection;State Board
Friedman, Barbara;09/01/1949;D;40;;W;1;0;0;0;1;;12/07/1992;11/30/1994;On time;Reelection;Reelected
Friedman, Terry B.;09/14/1949;D;41;;W;1;0;0;0;0;;12/07/1992;11/30/1994;On time;Not seek reelection;Judge
Goldsmith, Jan;01/26/1951;R;75;;W;1;0;0;0;0;;12/07/1992;11/30/1994;On time;Reelection;Reelected
Gotch, Mike;10/04/1947;D;76;;W;1;0;0;0;0;;12/07/1992;11/30/1994;On time;Not seek reelection;Lobbyist
Hannigan, Thomas M.;05/30/1940;D;8;;W;1;0;0;0;0;;12/07/1992;11/30/1994;On time;Reelection;Reelected
Harvey, Trice;07/14/1936;R;32;;W;1;0;0;0;0;;12/07/1992;11/30/1994;On time;Reelection;Reelected
Hauser, Dan;06/18/1942;D;1;;W;1;0;0;0;0;;12/07/1992;11/30/1994;On time;Reelection;Reelected
Haynes, Ray;08/26/1954;R;66;;W;1;0;0;0;0;;12/07/1992;11/30/1994;On time;Not seek reelection;State Senate candidate
Hoge, Bill;04/02/1946;R;44;;W;1;0;0;0;0;;12/07/1992;11/30/1994;On time;Reelection;Reelected
Honeycutt, Kathleen M.;03/21/1941;R;34;;W;1;0;0;0;1;;12/07/1992;11/30/1994;On time;;
Horcher, Paul V.;08/31/1951;R;60;;W;1;0;0;0;0;;12/07/1992;11/30/1994;On time;Reelection;Reelected
Isenberg, Phillip;25/02/1939;D;9;;W;1;0;0;0;0;;12/07/1992;11/30/1994;On time;Reelection;
Johnson, Ross;09/28/1939;R;72;;W;1;0;0;0;0;;12/03/1992;11/30/1994;On time;Reelection;Reelected
Jones, Bill;12/20/1949;R;29;;W;1;0;0;0;0;;12/07/1992;08/01/1994;Early;Executive campaign;Secretary of State
Karnette, Betty;09/13/1931;D;54;;W;1;0;0;0;1;;12/07/1992;11/30/1994;On time;Reelection;Defeated
Katz, Richard;08/16/1950;D;39;;W;1;0;0;0;0;;12/07/1992;11/30/1994;On time;Reelection;Reelected
Klehs, Johan;1952;D;18;;W;1;0;0;0;0;;12/07/1992;11/30/1994;On time;Not seek reelection;State Board of Equalization
Knight, Wm. Pete;11/18/1929;R;36;;W;1;0;0;0;0;;12/07/1992;11/30/1994;On time;Reelection;Reelected
Knowles, David;09/05/1952;R;4;;W;1;0;0;0;0;;12/07/1992;11/30/1994;On time;Reelection;Reelected
Lee, Barbara;07/16/1946;D;16;;B;0;0;1;0;1;;12/07/1992;11/30/1994;On time;Reelection;Reelected
Margolin, Burt M.;09/28/1950;D;42;;W;1;0;0;0;0;;12/07/1992;11/30/1994;On time;Not seek reelection;Lobbyist
Martinez, Diane;01/14/1953;D;49;;H;0;1;0;0;0;;12/07/1992;11/30/1994;On time;Reelection;Reelected
McDonald, Juanita M.;09/07/1938;D;55;;B;0;0;1;0;1;;12/07/1992;11/30/1994;On time;Reelection;Reelected
McPherson, Bruce;01/07/1944;R;27;;W;1;0;0;0;0;;11/14/1993;11/30/1994;On time;Reelection;Reelected
Moore, Gwen;10/01/1943;D;47;;B;0;0;1;0;1;;12/07/1992;11/30/1994;On time;Not seek reelection;Executive candidate
Morrow, Bill;04/19/1954;R;73;;W;1;0;0;0;0;;12/07/1992;11/30/1994;On time;Reelection;Reelected
"Mountjoy, Richard ""Dick""";13/01/1932;R;59;;W;1;0;0;0;0;;12/07/1992;11/30/1994;On time;Reelection;Reelected
Murray, Williard H. Jr.;01/01/1931;D;52;;B;0;0;1;0;0;;12/07/1992;11/30/1994;On time;Reelection;Reelected
Napolitano, Grace M.;12/04/1936;D;58;;H;0;1;0;0;1;;12/07/1992;11/30/1994;On time;Reelection;Reelected
Nolan, Patrick J.;06/16/1950;R;43;;W;1;0;0;0;0;;12/07/1992;02/18/1994;Early;Resignation;
O'Connell, Jack;10/08/1951;D;35;;W;1;0;0;0;0;;12/07/1992;11/30/1994;On time;Not seek reelection;State Senate candidate
Peace, Stephen;03/30/1953;D;79;;W;1;0;0;0;0;;12/07/1992;11/30/1994;On time;Not seek reelection;State Senate candidate
Polanco, Richard;03/04/1951;D;45;;H;0;1;0;0;0;;12/07/1992;02/18/1994;On time;Not seek reelection;State Senate candidate
Pringle, Curt;06/27/1959;R;68;;W;1;0;0;0;0;;12/07/1992;02/18/1994;On time;Reelection;Reelected
Quackenbush, Charles W.;04/20/1954;R;24;;W;1;0;0;0;0;;12/07/1992;02/18/1994;On time;Not seek reelection;Insurance Commissioner
Rainey, Richard K.;12/05/1938;R;15;;W;1;0;0;0;0;;12/07/1992;02/18/1994;On time;Reelection;Reelected
Richter, Bernie;09/07/1931;R;3;;W;1;0;0;0;0;;12/07/1992;02/18/1994;On time;Reelection;Reelected
Rogan, James E.;08/21/1957;R;43;;W;1;0;0;0;0;;05/03/1994;11/30/1994;On time;Reelection;Reelected
Seastrand, Andrea;08/05/1941;R;33;;W;1;0;0;0;1;;12/07/1992;02/18/1994;On time;Not seek reelection;USR candidate
Sher, Byron;02/07/1928;D;21;;W;1;0;0;0;0;;12/07/1992;11/30/1994;On time;Reelection;Reelected
Snyder, Margaret E.;02/25/1940;D;25;;W;1;0;0;0;1;;12/07/1992;02/18/1994;On time;Reelection;Defeated
Solis, Hilda;10/20/1957;D;57;;H;0;1;0;0;1;;12/07/1992;02/18/1994;On time;Not seek reelection;State Senate candidate
Speier, Jackie;05/14/1950;D;19;;W;1;0;0;0;1;;12/03/1992;11/30/1994;On time;Reelection;Reelected
Statham, Stan;04/07/1939;R;2;;W;1;0;0;0;0;;12/07/1992;02/18/1994;On time;Not seek reelection;Executive candidate
Takasugi, Nao;04/05/1922;R;37;;A;0;0;0;1;0;;12/07/1992;02/18/1994;On time;Reelection;Reelected
Tucker, Curtis R. Jr.;04/06/1954;D;51;;B;0;0;1;0;0;;12/07/1992;02/18/1994;On time;Reelection;Reelected
Umberg, Thomas;09/25/1955;D;69;;W;1;0;0;0;0;;12/04/1992;11/30/1994;On time;Not seek reelection;Executive candidate
Vasconcellos, John;05/11/1932;D;22;;H;0;1;0;0;0;;12/07/1992;11/30/1994;On time;Reelection;Reelected
Weggeland, Ted;09/30/1963;R;64;;W;1;0;0;0;0;;12/07/1992;02/18/1994;On time;Reelection;Reelected
Woodruff, Paul A.;02/13/1960;R;65;;W;1;0;0;0;0;;12/07/1992;02/18/1994;On time;;
