Name; Birth;Party;District;Other terms;Race;White;Hispanic;Black;Asian;Female;Function;Beginning term;End of term;End Type;Exit;Next occupation
Allen, Doris;05/26/1936;R;71;;W;1;0;0;0;1;;12/05/1990;11/30/1992;On time;Reelection;Reelected
Alpert, Dede;10/06/1945;D;75;;W;1;0;0;0;1;;12/03/1990;11/30/1992;On time;Reelection;Reelected
Andal, Dean;10/23/1959;R;26;;W;1;0;0;0;0;;05/16/1991;11/30/1992;On time;Reelection;Reelected
Archie-Hudson, Marguerite;11/18/1937;D;48;;W;1;0;0;0;1;;12/03/1990;11/30/1992;On time;Reelection;Reelected
Areias, Rusty;09/12/1949;D;25;;W;1;0;0;0;0;;12/05/1990;11/30/1992;On time;Reelection;Reelected
Baker, William P. (Bill);06/14/1940;R;15;;W;1;0;0;0;0;;12/05/1990;11/30/1992;On time;Not seek reelection;USR candidate
Bane, Tom;12/28/1913;D;40;;W;1;0;0;0;0;;12/05/1990;11/30/1992;On time;Not seek reelection;
Bates, Tom;02/09/1938;D;12;;W;1;0;0;0;0;;12/05/1990;11/30/1992;On time;Reelection;Reelected
Becerra, Xavier;01/26/1958;D;59;;H;0;1;0;0;0;;12/03/1990;11/30/1992;On time;Not seek reelection;USR candidate
Bentley, Carol;02/26/1945;R;77;;W;1;0;0;0;1;;12/03/1990;11/30/1992;On time;Not seek reelection;State Board
Boland, Paula L.;01/17/1940;R;38;;W;1;0;0;0;1;;12/03/1990;11/30/1992;On time;Reelection;Reelected
Bronzan, Bruce;09/28/1947;D;31;;W;1;0;0;0;0;;12/03/1990;11/30/1992;On time;Reelection;Reelected
Brown, Willie L. Jr.;03/20/1934;D;17;;B;0;0;1;0;0;;12/03/1990;11/30/1992;On time;Reelection;Reelected
Brulte, James L.;04/13/1956;R;65;;W;1;0;0;0;0;;12/07/1990;11/30/1992;On time;Reelection;Reelected
Burton, John L.;12/15/1932;D;16;;W;1;0;0;0;0;;12/03/1990;11/30/1992;On time;Reelection;Reelected
"Campbell, Robert J. ""Bob""";12/20/1937;D;11;;W;1;0;0;0;0;;12/03/1990;11/30/1992;On time;Reelection;Reelected
Cannella, Sal;09/23/1942;D;27;;W;1;0;0;0;0;;12/03/1990;11/30/1992;On time;Reelection;Reelected
Chacon, Peter R.;06/10/1925;D;79;;W;1;0;0;0;0;;12/03/1990;11/30/1992;On time;;
