Name; Birth;Party;District;Other terms;Race;White;Hispanic;Black;Asian;Female;Function;Beginning term;End of term;End Type;Exit;Next occupation
Chandler, Chris;01/20/1951;R;3;;W;1;0;0;0;0;;12/03/1990;11/30/1992;On time;Not seek reelection;Judge
Clute, Steve;12/08/1948;D;68;;W;1;0;0;0;0;;12/03/1990;11/30/1992;On time;Not seek reelection;USR candidate
Collins, B. T.;10/17/1940;R;5;;W;1;0;0;0;0;;09/18/1991;11/30/1992;On time;Reelection;Reelected
Connelly, Lloyd G.;12/31/1945;D;6;;W;1;0;0;0;0;;12/03/1990;11/30/1992;On time;Not seek reelection;Judge
Conroy, Mickey;11/01/1927;R;67;;W;1;0;0;0;0;;09/18/1991;11/30/1992;On time;Reelection;Reelected
"Cortese, Dominic L. ""Dom""";09/27/1932;D;24;;W;1;0;0;0;0;;12/03/1990;11/30/1992;On time;Reelection;Reelected
Costa, Jim;04/13/1952;D;30;;W;1;0;0;0;0;;12/03/1990;11/30/1992;On time;Reelection;Reelected
Eastin, Delaine;08/20/1947;D;18;;W;1;0;0;0;1;;12/03/1990;11/30/1992;On time;Reelection;Reelected
"Eaves, Gerald R. ""Jerry""";05/17/1939;D;66;;W;1;0;0;0;0;;12/03/1990;11/30/1992;On time;Not seek reelection;BS candidate
Elder, Dave;02/10/1942;D;57;;W;1;0;0;0;0;;12/03/1990;11/30/1992;On time;Reelection;Defeated
Epple, Bob;11/18/1948;D;63;;W;1;0;0;0;0;;12/03/1990;11/30/1992;On time;Reelection;Reelected
Farr, Sam;07/04/1941;D;28;;W;1;0;0;0;0;;12/03/1990;11/30/1992;On time;Reelection;Reelected
Felando, Gerald N.;12/29/1934;R;51;;W;1;0;0;0;0;;12/03/1990;11/30/1992;On time;Reelection;Defeated
Ferguson, Gil;04/22/1923;R;70;;W;1;0;0;0;0;;12/03/1990;11/30/1992;On time;Reelection;Reelected
"Filante, William J. ""Bill""";10/22/1929;R;9;;W;1;0;0;0;0;;12/03/1990;11/30/1991;Early;Legislative campaign;USR candidate
"Floyd, Richard E. ""Dick""";02/03/1931;D;53;;W;1;0;0;0;0;;12/03/1990;11/30/1992;On time;Reelection;Defeated
"Frazee, Robert C. ""Bob""";09/01/1928;R;74;;W;1;0;0;0;0;;12/03/1990;11/30/1992;On time;Reelection;Reelected
Friedman, Barbara;09/01/1949;D;46;;W;1;0;0;0;1;;08/01/1991;11/30/1992;On time;Reelection;Reelected
Friedman, Terry B.;09/14/1949;D;43;;W;1;0;0;0;0;;12/03/1990;11/30/1992;On time;Reelection;Reelected
Frizzelle, Nolan;10/16/1921;R;69;;W;1;0;0;0;0;;12/03/1990;11/30/1991;Early;Legislative campaign;State Senate candidate
Gotch, Mike;10/04/1947;D;78;;W;1;0;0;0;0;;12/03/1990;11/30/1992;On time;Reelection;Reelected
Hannigan, Thomas M.;05/30/1940;D;4;;W;1;0;0;0;0;;12/03/1990;11/30/1992;On time;Reelection;Reelected
Hansen, Bev;08/18/1944;R;8;;W;1;0;0;0;1;;12/03/1990;11/30/1992;On time;Not seek reelection;State Senate candidate
Harvey, Trice;07/14/1936;R;33;;W;1;0;0;0;0;;12/03/1990;11/30/1992;On time;Reelection;Reelected
Hauser, Dan;06/18/1942;D;2;;W;1;0;0;0;0;;12/03/1990;11/30/1992;On time;Reelection;Reelected
Hayden, Tom;12/11/1939;D;44;;W;1;0;0;0;0;;12/03/1990;11/30/1992;On time;Not seek reelection;State Senate candidate
Horcher, Paul V.;08/31/1951;R;52;;W;1;0;0;0;0;;12/03/1990;11/30/1992;On time;Reelection;Reelected
Hughes, Teresa;10/03/1931;D;47;;H;0;1;0;0;1;;12/03/1990;11/30/1992;On time;Not seek reelection;State Senate candidate
Hunter, Tricia-Rae;02/02/1949;R;76;;W;1;0;0;0;1;;12/03/1990;11/30/1992;On time;Reelection;Defeated
Isenberg, Phillip;25/02/1939;D;9;;W;1;0;0;0;0;;12/01/1991;11/30/1992;On time;Reelection;
Johnson, Ross;09/28/1939;R;64;;W;1;0;0;0;0;;12/03/1990;11/30/1992;On time;Reelection;Reelected
Johnston, Pat;09/03/1946;D;26;;W;1;0;0;0;0;;12/03/1990;01/10/1991;Early;Legislative campaign;State Senate candidate
Jones, Bill;12/20/1949;R;32;;W;1;0;0;0;0;;12/03/1990;11/30/1992;On time;Reelection;Reelected
Katz, Richard;08/16/1950;D;39;;W;1;0;0;0;0;;12/03/1990;11/30/1992;On time;Reelection;Reelected
Kelley, Dave;10/11/1928;R;73;;W;1;0;0;0;0;;12/03/1990;11/30/1992;On time;Not seek reelection;State Senate candidate
Klehs, Johan;1952;D;14;;W;1;0;0;0;0;;12/03/1990;11/30/1992;On time;Reelection;Reelected
Knowles, David;09/05/1952;R;7;;W;1;0;0;0;0;;12/03/1990;11/30/1992;On time;Reelection;Reelected
"Lancaster, William H. ""Bill""";04/29/1931;R;62;;W;1;0;0;0;0;;12/03/1990;11/30/1992;On time;;
Lee, Barbara;07/16/1946;D;13;;B;0;0;1;0;1;;12/03/1990;11/30/1992;On time;Reelection;Reelected
Lempert, Ted;06/14/1961;D;20;;W;1;0;0;0;0;;12/03/1990;11/30/1992;On time;Not seek reelection;USR candidate
Leslie, Tim;02/04/1942;R;5;;W;1;0;0;0;0;;12/03/1990;12/20/1990;Early;Legislative campaign;State Senate candidate
Lewis, John R.;11/02/1954;R;67;;W;1;0;0;0;0;;12/03/1990;01/01/1991;Early;Legislative campaign;State Senate candidate
Margolin, Burt M.;09/28/1950;D;45;;W;1;0;0;0;0;;12/03/1990;11/30/1992;On time;Reelection;Reelected
Mays, Tom;02/06/1954;R;58;;W;1;0;0;0;0;;12/03/1990;11/30/1992;On time;Reelection;Defeated
McClintock, Tom;07/10/1956;R;36;;W;1;0;0;0;0;;12/03/1990;11/30/1992;On time;Not seek reelection;USR candidate
Moore, Gwen;10/01/1943;D;49;;B;0;0;1;0;1;;12/03/1990;11/30/1992;On time;Reelection;Reelected
"Mountjoy, Richard ""Dick""";13/01/1932;R;42;;W;1;0;0;0;0;;12/03/1990;11/30/1992;On time;Reelection;Reelected
Murray, Williard H. Jr.;01/01/1931;D;54;;B;0;0;1;0;0;;12/03/1990;11/30/1992;On time;Reelection;Reelected
Nolan, Patrick J.;06/16/1950;R;41;;W;1;0;0;0;0;;12/03/1990;11/30/1992;On time;Reelection;Reelected
O'Connell, Jack;10/08/1951;D;35;;W;1;0;0;0;0;;12/03/1990;11/30/1992;On time;Reelection;Reelected
Peace, Stephen;03/30/1953;D;80;;W;1;0;0;0;0;;12/03/1990;11/30/1992;On time;Reelection;Reelected
Polanco, Richard;03/04/1951;D;55;;H;0;1;0;0;0;;12/03/1990;11/30/1992;On time;Reelection;Reelected
Quackenbush, Charles W.;04/20/1954;R;22;;W;1;0;0;0;0;;12/03/1990;11/30/1992;On time;Reelection;Reelected
Roos, Michael;08/06/1945;D;46;;W;1;0;0;0;0;;12/03/1990;03/19/1991;Early;Resignation;
Roybal-Allard, Lucille;06/12/1941;D;56;;H;0;1;0;0;1;;12/03/1990;11/30/1992;On time;Not seek reelection;USR candidate
Seastrand, Andrea;08/05/1941;R;29;;W;1;0;0;0;1;;12/03/1990;11/30/1992;On time;Reelection;Reelected
Sher, Byron;02/07/1928;D;21;;W;1;0;0;0;0;;12/03/1990;11/30/1992;On time;Reelection;Reelected
Speier, Jackie;05/14/1950;D;19;;W;1;0;0;0;1;;12/03/1990;11/30/1992;On time;Reelection;Reelected
Statham, Stan;04/07/1939;R;1;;W;1;0;0;0;0;;12/03/1990;11/30/1992;On time;Reelection;Reelected
Tanner, Sally;12/28/1926;D;60;;W;1;0;0;0;1;;12/03/1990;11/30/1992;On time;;
Tucker, Curtis R. Jr.;04/06/1954;D;50;;B;0;0;1;0;0;;12/03/1990;11/30/1992;On time;Reelection;Reelected
Umberg, Thomas;09/25/1955;D;72;;W;1;0;0;0;0;;12/03/1990;11/30/1992;On time;Reelection;Reelected
Vasconcellos, John;05/11/1932;D;23;;H;0;1;0;0;0;;12/03/1990;11/30/1992;On time;Reelection;Reelected
Woodruff, Paul A.;02/13/1960;R;61;;W;1;0;0;0;0;;12/03/1990;11/30/1992;On time;Reelection;Reelected
Wright, Cathie;05/18/1929;R;37;;W;1;0;0;0;1;;12/03/1990;11/30/1992;On time;Not seek reelection;State Senate candidate
Wyman, Phil;02/21/1945;R;34;;W;1;0;0;0;0;;12/03/1990;11/30/1992;On time;Not seek reelection;State Senate candidate
