Name; Birth;Party;District;Other terms;Race;White;Hispanic;Black;Asian;Female;Function;Beginning term;End of term;End Type;Exit;Next occupation
Ackerman, Dick;12/05/1942;R;72;;W;1;0;0;0;0;;09/13/1995;11/30/1996;On time;Reelection;Reelected
Aguiar, Fred;12/03/1948;R;61;;H;0;1;0;0;0;;12/05/1994;11/30/1996;On time;Reelection;Reelected
Alby, Barbara;08/09/1946;R;5;;W;1;0;0;0;1;;12/05/1994;11/30/1996;On time;Reelection;Reelected
Allen, Doris;05/26/1936;R;59;;W;1;0;0;0;1;;12/05/1994;09/14/1995;Early;Recalled;State Senate candidate
Alpert, Dede;10/06/1945;D;78;;W;1;0;0;0;1;;12/05/1994;11/30/1996;On time;Termed out;State Senate candidate
Archie-Hudson, Marguerite;11/18/1937;D;48;;W;1;0;0;0;1;;12/05/1994;11/30/1996;On time;Termed out;Reelected
Baca, Joe;01/23/1947;D;62;;H;0;1;0;0;0;;12/05/1994;11/30/1996;On time;Reelection;Reelected
, Steve;06/16/1956;R;77;;W;1;0;0;0;0;;12/05/1994;11/30/1996;On time;Reelection;Reelected
Bates, Tom;02/09/1938;D;14;;W;1;0;0;0;0;;12/05/1994;11/30/1996;On time;Termed out;
Battin, Jim;07/28/1962;R;80;;W;1;0;0;0;0;;12/05/1994;11/30/1996;On time;Reelection;Reelected
Baugh, Scott;07/04/1962;R;67;;W;1;0;0;0;0;;12/05/1994;11/30/1996;On time;Reelection;Reelected
Boland, Paula L.;01/17/1940;R;38;;W;1;0;0;0;1;;12/05/1994;11/30/1996;On time;Termed out;State Senate candidate
Bordonaro, Tom Jr.;03/22/1959;R;33;;W;1;0;0;0;0;;12/05/1994;11/30/1996;On time;Reelection;Reelected
Bowen, Debra;10/27/1955;D;53;;W;1;0;0;0;1;;12/05/1994;11/30/1996;On time;Reelection;Reelected
Bowler, Larry;07/30/1939;R;10;;W;1;0;0;0;0;;12/05/1994;11/30/1996;On time;Reelection;Reelected
