Name; Birth;Party;District;Other terms;Race;White;Hispanic;Black;Asian;Female;Function;Beginning term;End of term;End Type;Exit;Next occupation
Brewer, Marilyn C.;05/26/1937;R;70;;W;1;0;0;0;1;;12/05/1994;11/30/1996;On time;Reelection;Reelected
Brown, Valerie;10/30/1954;D;7;;W;1;0;0;0;1;;12/05/1994;11/30/1996;On time;Reelection;Reelected
Brown, Willie L. Jr.;03/20/1934;D;13;;B;0;0;1;0;0;;12/05/1994;12/14/1995;Early;Local campaign;M candidate
Brulte, James L.;04/13/1956;R;63;;W;1;0;0;0;0;;12/05/1994;11/30/1996;On time;Termed out;State Senate candidate
Burton, John L.;12/15/1932;D;12;;W;1;0;0;0;0;;12/05/1994;11/30/1996;On time;Termed out;State Senate candidate
Bustamante, Cruz M.;01/04/1953;D;31;;H;0;1;0;0;0;;12/05/1994;11/30/1996;On time;Reelection;Reelected
Caldera, Louis;04/01/1956;D;46;;H;0;1;0;0;0;;12/05/1994;11/30/1996;On time;Reelection;Reelected
"Campbell, Robert J. ""Bob""";12/20/1937;D;11;;W;1;0;0;0;0;;12/05/1994;11/30/1996;On time;Termed out;State Senate candidate
Cannella, Sal;09/23/1942;D;26;;W;1;0;0;0;0;;12/05/1994;11/30/1996;On time;Termed out;State Senate candidate
Conroy, Mickey;11/01/1927;R;71;;W;1;0;0;0;0;;12/05/1994;11/30/1996;On time;Termed out;
"Cortese, Dominic L. ""Dom""";09/27/1932;RFM;23;;W;1;0;0;0;0;;12/05/1994;11/30/1996;On time;Termed out;State Senate candidate
"Cunneen, James F. ""Jim""";05/24/1961;R;24;;W;1;0;0;0;0;;12/05/1994;11/30/1996;On time;Reelection;Reelected
Davis, Susan A.;04/13/1944;D;76;;W;1;0;0;0;1;;12/05/1994;11/30/1996;On time;Reelection;Reelected
Ducheny, Denise Moreno;03/21/1952;D;79;;H;0;1;0;0;1;;12/05/1994;11/30/1996;On time;Reelection;Reelected
Escutia, Martha M.;01/16/1957;D;50;;H;0;1;0;0;1;;12/05/1994;11/30/1996;On time;Reelection;Reelected
Figueroa, Liz;02/09/1951;D;20;;H;0;1;0;0;1;;12/05/1994;11/30/1996;On time;Reelection;Reelected
Firestone, Brooks;06/18/1939;R;35;;W;1;0;0;0;0;;12/05/1994;11/30/1996;On time;Reelection;Reelected
Friedman, Barbara;09/01/1949;D;40;;W;1;0;0;0;1;;12/05/1994;11/30/1996;On time;Termed out;
Frusetta, Peter;07/06/1932;R;28;;W;1;0;0;0;0;;12/05/1994;11/30/1996;On time;Reelection;Reelected
Gallegos, Martin;11/03/1956;D;57;;H;0;1;0;0;0;;12/05/1994;11/30/1996;On time;Reelection;Reelected
Goldsmith, Jan;01/26/1951;R;75;;W;1;0;0;0;0;;12/05/1994;11/30/1996;On time;Reelection;Reelected
Granlund, Brett;05/28/1954;R;65;;W;1;0;0;0;0;;12/05/1994;11/30/1996;On time;Reelection;Reelected
Hannigan, Thomas M.;05/30/1940;D;8;;W;1;0;0;0;0;;12/05/1994;11/30/1996;On time;;
Harvey, Trice;07/14/1936;R;32;;W;1;0;0;0;0;;12/05/1994;11/30/1996;On time;Termed out;USR candidate
Hauser, Dan;06/18/1942;D;1;;W;1;0;0;0;0;;12/05/1994;11/30/1996;On time;Termed out;
Hawkins, Phil;06/11/1943;R;56;;W;1;0;0;0;0;;12/05/1994;11/30/1996;On time;Not seek reelection;State Senate candidate
Hoge, Bill;04/02/1946;R;44;;W;1;0;0;0;0;;12/05/1994;11/30/1996;On time;Reelection;Defeated
Horcher, Paul V.;08/31/1951;Ind;60;;W;1;0;0;0;0;;12/05/1994;05/16/1995;Early;Recalled;
House, George;11/20/1929;R;25;;W;1;0;0;0;0;;12/05/1994;11/30/1996;On time;Reelection;Reelected
Isenberg, Phillip;25/02/1939;D;9;;W;1;0;0;0;0;;12/05/1994;11/30/1996;On time;;
Johnson, Ross;09/28/1939;R;72;;W;1;0;0;0;0;;12/04/1994;04/01/1995;Early;Legislative campaign;State Senate candidate
Kaloogian, Howard;12/30/1959;R;74;;A;0;0;0;1;0;;12/05/1994;11/30/1996;On time;Reelection;Reelected
Katz, Richard;08/16/1950;D;39;;W;1;0;0;0;0;;12/05/1994;11/30/1996;On time;Termed out;State Senate candidate
Knight, Wm. Pete;11/18/1929;R;36;;W;1;0;0;0;0;;12/05/1994;11/01/1996;Early;Legislative campaign;State Senate candidate
Knowles, David;09/05/1952;R;4;;W;1;0;0;0;0;;12/05/1994;11/30/1996;On time;Termed out;State Board
Knox, Wally;02/07/1947;D;42;;W;1;0;0;0;0;;12/05/1994;11/30/1996;On time;Reelection;Reelected
Kuehl, Sheila James;02/09/1941;D;41;;W;1;0;0;0;1;;12/05/1994;11/30/1996;On time;Reelection;Reelected
Kuykendall, Steven T.;01/27/1947;R;54;;W;1;0;0;0;0;;12/05/1994;11/30/1996;On time;Reelection;Reelected
Lee, Barbara;07/16/1946;D;16;;B;0;0;1;0;1;;12/05/1994;11/30/1996;On time;Termed out;State Senate candidate
Machado, Mike;03/12/1948;D;17;;H;0;1;0;0;0;;12/05/1994;11/30/1996;On time;Reelection;Reelected
Margett, Bob;05/08/1929;R;59;;W;1;0;0;0;0;;06/06/1995;11/30/1996;On time;Reelection;Reelected
Martinez, Diane;01/14/1953;D;49;;H;0;1;0;0;0;;12/05/1994;11/30/1996;On time;Reelection;Reelected
Mazzoni, Kerry;01/09/1949;D;6;;W;1;0;0;0;1;;12/05/1994;11/30/1996;On time;Reelection;Reelected
McDonald, Juanita M.;09/07/1938;D;55;;B;0;0;1;0;1;;12/05/1994;04/15/1996;Early;Legislative campaign;USR candidate
McPherson, Bruce;01/07/1944;R;27;;W;1;0;0;0;0;;12/05/1994;11/30/1996;On time;Not seek reelection;State Senate candidate
Migden, Carole;08/14/1948;D;13;;W;1;0;0;0;1;;12/15/1995;11/30/1996;On time;Reelection;Reelected
Miller, Gary G.;10/16/1948;R;60;;W;1;0;0;0;0;;05/17/1995;11/30/1996;On time;Reelection;Reelected
Morrissey, Jim;05/10/1930;R;69;;W;1;0;0;0;0;;12/05/1994;11/30/1996;On time;Reelection;Reelected
Morrow, Bill;04/19/1954;R;73;;W;1;0;0;0;0;;12/05/1994;11/30/1996;On time;Reelection;Reelected
"Mountjoy, Richard ""Dick""";13/01/1932;R;59;;W;1;0;0;0;0;;12/05/1994;01/23/1995;Early;Legislative campaign;State Senate candidate
Murray, Kevin;03/12/1960;D;47;;B;0;0;1;0;0;;12/05/1994;11/30/1996;On time;Reelection;Reelected
Murray, Williard H. Jr.;01/01/1931;D;52;;B;0;0;1;0;0;;12/05/1994;11/30/1996;On time;Reelection;Defeated
Napolitano, Grace M.;12/04/1936;D;58;;H;0;1;0;0;1;;12/05/1994;11/30/1996;On time;Reelection;Reelected
Olberg, Keith;10/29/1960;R;34;;A;0;0;0;1;0;;12/05/1994;11/30/1996;On time;Reelection;Reelected
Poochigian, Charles;05/31/1949;R;29;;W;1;0;0;0;0;;12/05/1994;11/30/1996;On time;Reelection;Reelected
Pringle, Curt;06/27/1959;R;68;;W;1;0;0;0;0;;12/05/1994;11/30/1996;On time;Reelection;Reelected
Rainey, Richard K.;12/05/1938;R;15;;W;1;0;0;0;0;;12/05/1994;11/30/1996;On time;Not seek reelection;State Senate candidate
Richter, Bernie;09/07/1931;R;3;;W;1;0;0;0;0;;12/05/1994;11/30/1996;On time;Reelection;Reelected
Rogan, James E.;08/21/1957;R;43;;W;1;0;0;0;0;;12/01/1994;11/30/1996;On time;Not seek reelection;USR candidate
Setencich, Brian;03/29/1962;R;30;;W;1;0;0;0;0;;12/01/1994;11/30/1996;On time;Reelection;Defeated
Sher, Byron;02/07/1928;D;21;;W;1;0;0;0;0;;12/05/1994;11/30/1996;On time;Termed out;State Senate candidate
Speier, Jackie;05/14/1950;D;19;;W;1;0;0;0;1;;12/05/1994;11/30/1996;On time;Termed out;State Senate candidate
Sweeney, Michael;10/30/1950;D;18;;W;1;0;0;0;0;;12/05/1994;11/30/1996;On time;Reelection;Reelected
Takasugi, Nao;04/05/1922;R;37;;A;0;0;0;1;0;;12/05/1994;11/30/1996;On time;Reelection;Reelected
Thompson, Bruce;11/24/1953;R;66;;W;1;0;0;0;0;;12/05/1994;11/30/1996;On time;Reelection;Reelected
Tucker, Curtis R. Jr.;04/06/1954;D;51;;B;0;0;1;0;0;;12/05/1994;11/30/1996;On time;;
Vasconcellos, John;05/11/1932;D;22;;H;0;1;0;0;0;;12/05/1994;11/30/1996;On time;Termed out;State Senate candidate
Villaraigosa, Antonio R. ;01/23/1953;D;45;;H;0;1;0;0;0;;12/05/1994;11/30/1996;On time;Reelection;Reelected
Weggeland, Ted;09/30/1963;R;64;;W;1;0;0;0;0;;12/05/1994;11/30/1996;On time;;
Woods, Tom;02/01/0147;R;2;;W;1;0;0;0;0;;12/05/1994;11/30/1996;On time;Reelection;Reelected
