"Id","Name","Birth","Race","White","Hispanic","Black","Asian","Female","Term","Party"
"001","Aanestad, Samuel","07/16/1946","W",TRUE,FALSE,FALSE,FALSE,FALSE,2002,"R"
"003","Ackerman, Dick","12/05/1942","W",TRUE,FALSE,FALSE,FALSE,FALSE,2000,"R"
"010","Alarcon, Richard","11/24/1953","W",TRUE,FALSE,FALSE,FALSE,FALSE,1998,"D"
"017","Alpert, Dede","10/06/1945","W",TRUE,FALSE,FALSE,FALSE,TRUE,1996,"D"
"018","Alquist, Elaine","08/21/1944","W",TRUE,FALSE,FALSE,FALSE,TRUE,2004,"D"
"021","Anderson, Joel","02/11/1960","W",TRUE,FALSE,FALSE,FALSE,FALSE,2010,"R"
"027","Ashburn, Roy","03/21/1954","W",TRUE,FALSE,FALSE,FALSE,FALSE,2002,"R"
"028","Atkins, Toni","08/01/1962","W",TRUE,FALSE,FALSE,FALSE,TRUE,2016,"D"
"037","Bates, Patricia","12/15/1939","W",TRUE,FALSE,FALSE,FALSE,TRUE,2014,"R"
"039","Battin, Jim","07/28/1962","W",TRUE,FALSE,FALSE,FALSE,FALSE,2000,"R"
"045","Benoit, John J.","12/27/1951","W",TRUE,FALSE,FALSE,FALSE,FALSE,2008,"R"
"053","Berryhill, Tom","08/27/1953","W",TRUE,FALSE,FALSE,FALSE,FALSE,2010,"R"
"056","Block, Martin","06/28/1950","W",TRUE,FALSE,FALSE,FALSE,FALSE,2012,"D"
"069","Bowen, Debra","10/27/1955","W",TRUE,FALSE,FALSE,FALSE,TRUE,1998,"D"
"071","Bradford, Steven","01/12/1960","B",FALSE,FALSE,TRUE,FALSE,FALSE,2016,"D"
"083","Brulte, James L.","04/13/1956","W",TRUE,FALSE,FALSE,FALSE,FALSE,1996,"R"
"086","Burton, John L.","12/15/1932","W",TRUE,FALSE,FALSE,FALSE,FALSE,1996,"D"
"089","Caballero, Anna","04/18/1955","H",FALSE,TRUE,FALSE,FALSE,TRUE,2018,"D"
"094","Calderon, Ronald S.","08/12/1957","H",FALSE,TRUE,FALSE,FALSE,FALSE,2006,"D"
"097","Campbell, John","07/19/1955","W",TRUE,FALSE,FALSE,FALSE,FALSE,2004,"R"
"106","Cedillo, Gil","03/25/1954","H",FALSE,TRUE,FALSE,FALSE,FALSE,2002,"D"
"111","Chang, Ling-Ling","07/24/1976","A",FALSE,FALSE,FALSE,TRUE,TRUE,2018,"R"
"116","Chesbro, Wesley","08/20/1951","W",TRUE,FALSE,FALSE,FALSE,FALSE,1998,"D"
"121","Cogdill, Dave","12/31/1950","W",TRUE,FALSE,FALSE,FALSE,FALSE,2006,"R"
"132","Corbett, Ellen","12/31/1954","W",TRUE,FALSE,FALSE,FALSE,TRUE,2006,"D"
"133","Correa, Lou","01/24/1958","H",FALSE,TRUE,FALSE,FALSE,FALSE,2006,"D"
"135","Costa, Jim","04/13/1952","W",TRUE,FALSE,FALSE,FALSE,FALSE,1994,"D"
"137","Cox, Dave","02/20/1938","W",TRUE,FALSE,FALSE,FALSE,FALSE,2004,"R"
"142","Dahle, Brian","09/20/1965","W",TRUE,FALSE,FALSE,FALSE,FALSE,2016,"R"
"151","De Leon, Kevin","12/10/1966","H",FALSE,TRUE,FALSE,FALSE,FALSE,2010,"D"
"153","DeSaulnier, Mark","03/31/1952","W",TRUE,FALSE,FALSE,FALSE,FALSE,2008,"D"
"159","Dodd, Bill","06/10/1956","W",TRUE,FALSE,FALSE,FALSE,FALSE,2016,"D"
"161","Ducheny, Denise Moreno","03/21/1952","H",FALSE,TRUE,FALSE,FALSE,TRUE,2002,"D"
"166","Dutton, Robert D.","10/13/1950","W",TRUE,FALSE,FALSE,FALSE,FALSE,2004,"R"
"172","Emmerson, Bill","10/28/1945","W",TRUE,FALSE,FALSE,FALSE,FALSE,2010,"R"
"175","Escutia, Martha M.","01/16/1957","H",FALSE,TRUE,FALSE,FALSE,TRUE,1998,"D"
"176","Evans, Noreen","04/22/1955","W",TRUE,FALSE,FALSE,FALSE,TRUE,2010,"D"
"181","Figueroa, Liz","02/09/1951","H",FALSE,TRUE,FALSE,FALSE,TRUE,1998,"D"
"187","Florez, Dean","04/05/1963","W",TRUE,FALSE,FALSE,FALSE,FALSE,2002,"D"
"202","Fuller, Jean","04/16/1950","W",TRUE,FALSE,FALSE,FALSE,TRUE,2010,"R"
"206","Gaines, Ted","04/25/1958","W",TRUE,FALSE,FALSE,FALSE,FALSE,2008,"R"
"207","Galgiani, Cathleen","01/04/1964","W",TRUE,FALSE,FALSE,FALSE,TRUE,2012,"D"
"233","Grove, Shannon","03/18/1965","W",TRUE,FALSE,FALSE,FALSE,TRUE,2018,"R"
"239","Hancock, Loni","04/10/1940","W",TRUE,FALSE,FALSE,FALSE,TRUE,2008,"D"
"243","Harman, Tom","05/30/1941","W",TRUE,FALSE,FALSE,FALSE,FALSE,2004,"R"
"253","Haynes, Ray","08/26/1954","W",TRUE,FALSE,FALSE,FALSE,FALSE,1994,"R"
"257","Hertzberg, Bob","11/19/1954","W",TRUE,FALSE,FALSE,FALSE,FALSE,2014,"D"
"259","Hill, Jerry","04/18/1947","W",TRUE,FALSE,FALSE,FALSE,FALSE,2012,"D"
"262","Hollingsworth, Dennis","01/12/1967","W",TRUE,FALSE,FALSE,FALSE,FALSE,2002,"R"
"271","Hueso, Ben","09/02/1969","H",FALSE,TRUE,FALSE,FALSE,FALSE,2010,"D"
"272","Huff, Bob","09/09/1953","W",TRUE,FALSE,FALSE,FALSE,FALSE,2008,"R"
"281","Jackson, Hannah-Beth","05/19/1950","W",TRUE,FALSE,FALSE,FALSE,TRUE,2012,"D"
"283","Johnson, Ross","09/28/1939","W",TRUE,FALSE,FALSE,FALSE,FALSE,1996,"R"
"292","Karnette, Betty","09/13/1931","W",TRUE,FALSE,FALSE,FALSE,TRUE,1996,"D"
"296","Kehoe, Christine","10/03/1950","W",TRUE,FALSE,FALSE,FALSE,TRUE,2004,"D"
"302","Knight, Steve","12/17/1966","W",TRUE,FALSE,FALSE,FALSE,FALSE,2012,"R"
"303","Knight, Wm. Pete","11/18/1929","W",TRUE,FALSE,FALSE,FALSE,FALSE,1996,"R"
"309","Kuehl, Sheila James","02/09/1941","W",TRUE,FALSE,FALSE,FALSE,TRUE,2000,"D"
"312","La Malfa, Doug","07/02/1960","W",TRUE,FALSE,FALSE,FALSE,FALSE,2010,"R"
"315","Laird, John","03/29/1950","W",TRUE,FALSE,FALSE,FALSE,FALSE,2020,"D"
"317","Lara, Ricardo","11/05/1974","H",FALSE,TRUE,FALSE,FALSE,FALSE,2012,"D"
"323","Leno, Mark","09/24/1951","W",TRUE,FALSE,FALSE,FALSE,FALSE,2008,"D"
"332","Limon, Monique","10/30/1979","H",FALSE,TRUE,FALSE,FALSE,TRUE,2020,"D"
"334","Liu, Carol","09/12/1941","A",FALSE,FALSE,FALSE,TRUE,TRUE,2008,"D"
"341","Lowenthal, Alan","03/08/1941","W",TRUE,FALSE,FALSE,FALSE,FALSE,2004,"D"
"344","Machado, Mike","03/12/1948","H",FALSE,TRUE,FALSE,FALSE,FALSE,2000,"D"
"347","Maldonado, Abel","08/21/1967","H",FALSE,TRUE,FALSE,FALSE,FALSE,2004,"R"
"349","Margett, Bob","05/08/1929","W",TRUE,FALSE,FALSE,FALSE,FALSE,2000,"R"
"366","McClintock, Tom","07/10/1956","W",TRUE,FALSE,FALSE,FALSE,FALSE,2000,"R"
"368","McLeod, Gloria Negrete","09/06/1941","H",FALSE,TRUE,FALSE,FALSE,TRUE,2006,"D"
"369","McPherson, Bruce","01/07/1944","W",TRUE,FALSE,FALSE,FALSE,FALSE,1996,"R"
"372","Mendoza, Tony","04/22/1971","H",FALSE,TRUE,FALSE,FALSE,FALSE,2014,"D"
"373","Migden, Carole","08/14/1948","W",TRUE,FALSE,FALSE,FALSE,TRUE,2004,"D"
"376","Mitchell, Holly","09/07/1964","B",FALSE,FALSE,TRUE,FALSE,TRUE,2014,"D"
"379","Monning, William W.","04/02/1951","W",TRUE,FALSE,FALSE,FALSE,FALSE,2012,"D"
"382","Morrel, Mike","10/14/1952","W",TRUE,FALSE,FALSE,FALSE,FALSE,2012,"R"
"384","Morrow, Bill","04/19/1954","W",TRUE,FALSE,FALSE,FALSE,FALSE,1998,"R"
"390","Murray, Kevin","03/12/1960","B",FALSE,FALSE,TRUE,FALSE,FALSE,1998,"D"
"401","Nguyen, Janet","05/01/1976","A",FALSE,FALSE,FALSE,TRUE,TRUE,2014,"R"
"403","Nielsen, Jim","08/31/1944","W",TRUE,FALSE,FALSE,FALSE,FALSE,2010,"R"
"406","O'Connell, Jack","10/08/1951","W",TRUE,FALSE,FALSE,FALSE,FALSE,1998,"D"
"410","Oller, Thomas Rico","07/16/1958","H",FALSE,TRUE,FALSE,FALSE,FALSE,2000,"R"
"412","Oropeza, Jenny","09/27/1957","H",FALSE,TRUE,FALSE,FALSE,TRUE,2006,"D"
"413","Ortiz, Deborah V.","03/19/1957","H",FALSE,TRUE,FALSE,FALSE,TRUE,1998,"D"
"417","Pan, Richard","10/28/1965","A",FALSE,FALSE,FALSE,TRUE,FALSE,2014,"D"
"421","Pavley, Fran","11/11/1948","W",TRUE,FALSE,FALSE,FALSE,TRUE,2008,"D"
"422","Peace, Stephen","03/30/1953","W",TRUE,FALSE,FALSE,FALSE,FALSE,1994,"D"
"423","Perata, Don","04/30/1945","W",TRUE,FALSE,FALSE,FALSE,FALSE,1996,"D"
"430","Poochigian, Charles","05/31/1949","W",TRUE,FALSE,FALSE,FALSE,FALSE,1998,"R"
"431","Portantino, Anthony J.","01/29/1961","H",FALSE,TRUE,FALSE,FALSE,FALSE,2016,"D"
"433","Price, Curren","12/16/1950","B",FALSE,FALSE,TRUE,FALSE,FALSE,2006,"D"
"444","Ridley-Thomas, Mark","11/06/1954","B",FALSE,FALSE,TRUE,FALSE,FALSE,2006,"D"
"452","Romero, Gloria","07/10/1955","H",FALSE,TRUE,FALSE,FALSE,TRUE,1998,"D"
"457","Runner, George","03/25/1952","W",TRUE,FALSE,FALSE,FALSE,FALSE,2004,"R"
"458","Runner, Sharon","05/17/1954","W",TRUE,FALSE,FALSE,FALSE,TRUE,2010,"R"
"468","Scott, Jack","08/24/1933","W",TRUE,FALSE,FALSE,FALSE,FALSE,2000,"D"
"475","Sher, Byron","02/07/1928","W",TRUE,FALSE,FALSE,FALSE,FALSE,1996,"D"
"477","Simitian, Joseph","02/01/1953","W",TRUE,FALSE,FALSE,FALSE,FALSE,2004,"D"
"478","Skinner, Nancy","08/12/1954","W",TRUE,FALSE,FALSE,FALSE,TRUE,2016,"D"
"485","Soto, Nell","06/18/1926","H",FALSE,TRUE,FALSE,FALSE,TRUE,1998,"D"
"486","Speier, Jackie","05/14/1950","W",TRUE,FALSE,FALSE,FALSE,TRUE,1998,"D"
"489","Steinberg, Darrell","10/15/1959","W",TRUE,FALSE,FALSE,FALSE,FALSE,2006,"D"
"494","Strickland, Tony","02/17/1970","W",TRUE,FALSE,FALSE,FALSE,FALSE,2008,"R"
"501","Talamantes Eggman, Susan","03/03/1961","H",FALSE,TRUE,FALSE,FALSE,TRUE,2020,"D"
"508","Torlakson, Tom","07/19/1949","W",TRUE,FALSE,FALSE,FALSE,FALSE,2000,"D"
"515","Umberg, Thomas","09/25/1955","W",TRUE,FALSE,FALSE,FALSE,FALSE,2018,"D"
"517","Vargas, Juan","03/07/1961","H",FALSE,TRUE,FALSE,FALSE,FALSE,2010,"D"
"518","Vasconcellos, John","05/11/1932","H",FALSE,TRUE,FALSE,FALSE,FALSE,1996,"D"
"523","Vincent, Edward","06/23/1934","B",FALSE,FALSE,TRUE,FALSE,FALSE,2000,"D"
"525","W. Jones, Brian","08/09/1968","W",TRUE,FALSE,FALSE,FALSE,FALSE,2018,"R"
"527","Walters, Mimi","05/14/1962","W",TRUE,FALSE,FALSE,FALSE,TRUE,2008,"R"
"537","Wieckowski, Bob","02/18/1955","W",TRUE,FALSE,FALSE,FALSE,FALSE,2014,"D"
"538","Wiggins, Pat","04/19/1940","W",TRUE,FALSE,FALSE,FALSE,TRUE,2006,"D"
"542","Wolk, Lois","05/12/1946","W",TRUE,FALSE,FALSE,FALSE,TRUE,2008,"D"
"549","Wyland, Mark","10/27/1946","W",TRUE,FALSE,FALSE,FALSE,FALSE,2006,"R"
"552","Yee, Leland Y.","11/20/1948","A",FALSE,FALSE,FALSE,TRUE,FALSE,2006,"D"
"556","Allen, Ben","03/13/1978","W",TRUE,FALSE,FALSE,FALSE,FALSE,2014,"D"
"557","Archuleta, Bob","06/01/1945","H",FALSE,TRUE,FALSE,FALSE,FALSE,2018,"D"
"558","Beall, Jim, Jr.","12/07/1951","W",TRUE,FALSE,FALSE,FALSE,FALSE,2012,"D"
"559","Becker, Josh",NA,"W",TRUE,FALSE,FALSE,FALSE,FALSE,2020,"D"
"560","Borgeas, Andreas",NA,"W",TRUE,FALSE,FALSE,FALSE,FALSE,2018,"R"
"561","Cannella, Anthony","03/22/1969","W",TRUE,FALSE,FALSE,FALSE,FALSE,2010,"R"
"562","Cortese, Dave","06/03/1956","W",TRUE,FALSE,FALSE,FALSE,FALSE,2020,"D"
"563","Denham, Jeff","07/29/1967","W",TRUE,FALSE,FALSE,FALSE,FALSE,2002,"R"
"564","Dunn, Joseph L.","09/05/1958","W",TRUE,FALSE,FALSE,FALSE,FALSE,1998,"D"
"565","Durazo, Maria Elena","03/20/1953","W",TRUE,FALSE,FALSE,FALSE,TRUE,2018,"D"
"566","Glazer, Steve","08/10/1957","W",TRUE,FALSE,FALSE,FALSE,FALSE,2012,"D"
"567","Gonzalez, Lena","01/26/1981","H",FALSE,TRUE,FALSE,FALSE,TRUE,2016,"D"
"568","Hernandez, Edward P. (Ed)","10/17/1957","H",FALSE,TRUE,FALSE,FALSE,FALSE,2010,"D"
"569","Hurtado, Melissa","03/06/1988","H",FALSE,TRUE,FALSE,FALSE,TRUE,2018,"D"
"570","Leyva, Connie M.","02/19/1967","W",TRUE,FALSE,FALSE,FALSE,TRUE,2014,"D"
"571","Lieu, Ted W.","03/29/1969","A",FALSE,FALSE,FALSE,TRUE,FALSE,2010,"D"
"572","McGuire, Mike","07/21/1979","W",TRUE,FALSE,FALSE,FALSE,FALSE,2014,"D"
"573","Monteith, Dick","02/07/1932","W",TRUE,FALSE,FALSE,FALSE,FALSE,1994,"R"
"574","Moorlach, John","12/21/1955","W",TRUE,FALSE,FALSE,FALSE,FALSE,2012,"R"
"575","Newman, Josh","10/17/1964","W",TRUE,FALSE,FALSE,FALSE,FALSE,2016,"D"
"576","Ochoa Bogh, Rosilicie","6/30/1972","H",FALSE,TRUE,FALSE,FALSE,TRUE,2020,"R"
"577","Padilla, Alex","03/22/1973","H",FALSE,TRUE,FALSE,FALSE,FALSE,2006,"D"
"578","Roth, Richard","11/06/1950","W",TRUE,FALSE,FALSE,FALSE,FALSE,2012,"D"
"579","Rubio, Michael J.","08/24/1977","H",FALSE,TRUE,FALSE,FALSE,FALSE,2010,"D"
"580","Rubio, Susan","12/25/1970","H",FALSE,TRUE,FALSE,FALSE,TRUE,2018,"D"
"581","Scott, Wilk","03/16/1959","W",TRUE,FALSE,FALSE,FALSE,FALSE,2016,"R"
"582","Stern, Henry","04/12/1982","W",TRUE,FALSE,FALSE,FALSE,FALSE,2016,"D"
"583","Stone, Jeff","01/30/1956","W",TRUE,FALSE,FALSE,FALSE,FALSE,2014,"R"
