"Id","Name","Office","Local Division","Beginning term","End of term"
"488","Statham, Stan","State Assembly","1",1980-12-05,1982-11-30
"068","Bosco, Douglas H.","State Assembly","2",1980-12-05,1982-11-30
"254","Herger, Wally","State Assembly","3",1980-12-05,1982-11-30
"240","Hannigan, Thomas M.","State Assembly","4",1980-12-05,1982-11-30
"163","Duffy, Jean Moorehead","State Assembly","5",1980-12-05,1982-11-30
"231","Greene, Leroy F.","State Assembly","6",1980-12-06,1982-11-30
"531","Waters, Norman S.","State Assembly","7",1980-12-05,1982-11-30
"471","Sebastiani, Don","State Assembly","8",1980-12-05,1982-11-30
"182","Filante, William J. \"Bill\"","State Assembly","9",1980-12-05,1982-11-30
"033","Baker, William P. (Bill)","State Assembly","10",1980-12-05,1982-11-30
"098","Campbell, Robert J. \"Bob\"","State Assembly","11",1980-12-05,1982-11-30
"038","Bates, Tom","State Assembly","12",1980-12-05,1982-11-30
"245","Harris, Elihu M.","State Assembly","13",1980-12-05,1982-11-30
"335","Lockyer, Bill","State Assembly","14",1980-12-05,1982-11-30
"351","Marguth, Gilbert R. Jr. \"Gib\"","State Assembly","15",1980-12-05,1982-11-30
"007","Agnos, Art","State Assembly","16",1980-12-05,1982-11-30
"081","Brown, Willie L. Jr.","State Assembly","17",1980-12-05,1982-11-30
"364","McCarthy, Leo T.","State Assembly","18",1980-12-05,1982-11-30
"418","Papan, Louis","State Assembly","19",1980-12-05,1982-11-30
"398","Naylor, Robert W.","State Assembly","20",1980-12-05,1982-11-30
"475","Sher, Byron","State Assembly","21",1980-12-05,1982-11-30
"306","Konnyu, Ernest L.","State Assembly","22",1980-12-05,1982-11-30
"518","Vasconcellos, John","State Assembly","23",1980-12-05,1982-11-30
"134","Cortese, Dominic L. \"Dom\"","State Assembly","24",1980-12-05,1982-11-30
"362","McAlister, Alister","State Assembly","25",1980-12-05,1982-11-30
"189","Fondse, Adrian C.","State Assembly","26",1980-12-05,1981-01-05
"284","Johnston, Pat","State Assembly","26",1981-01-05,1982-11-30
"505","Thurman, John E. Jr.","State Assembly","27",1980-12-05,1982-11-30
"177","Farr, Sam","State Assembly","28",1980-12-05,1982-11-30
"238","Hallett, Carol","State Assembly","29",1980-12-06,1982-11-30
"135","Costa, Jim","State Assembly","30",1980-12-05,1982-11-30
"321","Lehman, Richard","State Assembly","31",1980-12-05,1982-06-01
"162","Duffy, Gordon W.","State Assembly","32",1980-12-05,1982-11-30
"451","Rogers, Don","State Assembly","33",1980-12-05,1982-11-30
"550","Wyman, Phil","State Assembly","34",1980-12-05,1982-11-30
"246","Hart, Gary K.","State Assembly","35",1980-12-05,1982-11-30
"276","Imbrecht, Charles R.","State Assembly","36",1980-12-05,1982-11-30
"547","Wright, Cathie","State Assembly","37",1980-12-05,1982-11-30
"311","La Follette, Marian W.","State Assembly","38",1980-12-05,1982-11-30
"293","Katz, Richard","State Assembly","39",1980-12-05,1982-11-30
"035","Bane, Tom","State Assembly","40",1980-12-05,1982-11-30
"404","Nolan, Patrick J.","State Assembly","41",1980-12-05,1982-11-30
"280","Ivers, William H. \"Bill\"","State Assembly","42",1980-12-05,1982-11-30
"049","Berman, Howard L.","State Assembly","43",1980-12-05,1982-11-30
