"Id","Name","Birth","Race","White","Hispanic","Black","Asian","Female","Term","Party"
"007","Agnos, Art","09/01/1938","W",TRUE,FALSE,FALSE,FALSE,FALSE,1980,"D"
"011","Alatorre, Richard","05/15/1943","H",FALSE,TRUE,FALSE,FALSE,FALSE,1980,"D"
"014","Allen, Doris","05/26/1936","W",TRUE,FALSE,FALSE,FALSE,TRUE,1982,"R"
"025","Areias, Rusty","09/12/1949","W",TRUE,FALSE,FALSE,FALSE,FALSE,1982,"D"
"031","Bader, Charles W.","01/01/1940","W",TRUE,FALSE,FALSE,FALSE,FALSE,1982,"R"
"033","Baker, William P. (Bill)","06/14/1940","W",TRUE,FALSE,FALSE,FALSE,FALSE,1980,"R"
"035","Bane, Tom","12/28/1913","W",TRUE,FALSE,FALSE,FALSE,FALSE,1980,"D"
"038","Bates, Tom","02/09/1938","W",TRUE,FALSE,FALSE,FALSE,FALSE,1980,"D"
"046","Bentley, Carol","02/26/1945","W",TRUE,FALSE,FALSE,FALSE,TRUE,1988,"R"
"048","Bergeson, Marian","08/31/1925","W",TRUE,FALSE,FALSE,FALSE,TRUE,1980,"R"
"049","Berman, Howard L.","04/15/1941","W",TRUE,FALSE,FALSE,FALSE,FALSE,1980,"D"
"068","Bosco, Douglas H.","07/28/1946","W",TRUE,FALSE,FALSE,FALSE,FALSE,1980,"D"
"072","Bradley, Bill","03/02/1919","W",TRUE,FALSE,FALSE,FALSE,FALSE,1982,"R"
"076","Bronzan, Bruce","09/28/1947","W",TRUE,FALSE,FALSE,FALSE,FALSE,1982,"D"
"079","Brown, Dennis L.",NA,"W",TRUE,FALSE,FALSE,FALSE,FALSE,1980,"R"
"081","Brown, Willie L. Jr.","03/20/1934","B",FALSE,FALSE,TRUE,FALSE,FALSE,1980,"D"
"086","Burton, John L.","12/15/1932","W",TRUE,FALSE,FALSE,FALSE,FALSE,1986,"D"
"091","Calderon, Charles M.","03/12/1950","H",FALSE,TRUE,FALSE,FALSE,FALSE,1982,"D"
"098","Campbell, Robert J. \"Bob\"","12/20/1937","W",TRUE,FALSE,FALSE,FALSE,FALSE,1980,"D"
"108","Chacon, Peter R.","06/10/1925","W",TRUE,FALSE,FALSE,FALSE,FALSE,1980,"D"
"110","Chandler, Chris","01/20/1951","W",TRUE,FALSE,FALSE,FALSE,FALSE,1986,"R"
"120","Clute, Steve","12/08/1948","W",TRUE,FALSE,FALSE,FALSE,FALSE,1982,"D"
"124","Condit, Gary A.","04/21/1948","W",TRUE,FALSE,FALSE,FALSE,FALSE,1982,"D"
"125","Connelly, Lloyd G.","12/31/1945","W",TRUE,FALSE,FALSE,FALSE,FALSE,1982,"D"
"134","Cortese, Dominic L. \"Dom\"","09/27/1932","W",TRUE,FALSE,FALSE,FALSE,FALSE,1980,"D"
"135","Costa, Jim","04/13/1952","W",TRUE,FALSE,FALSE,FALSE,FALSE,1980,"D"
"138","Cramer, Jim","10/14/1931","W",TRUE,FALSE,FALSE,FALSE,FALSE,1980,"D"
"147","Davis, Gray","12/26/1942","W",TRUE,FALSE,FALSE,FALSE,FALSE,1982,"D"
"152","Deddeh, Wadie P.","09/06/1920","A",FALSE,FALSE,FALSE,TRUE,FALSE,1980,"D"
"162","Duffy, Gordon W.","04/24/1924","W",TRUE,FALSE,FALSE,FALSE,FALSE,1980,"R"
"163","Duffy, Jean Moorehead","12/17/1938","W",TRUE,FALSE,FALSE,FALSE,TRUE,1980,"R"
"164","Duplissea, William P. \"Bill\"","04/30/1950","W",TRUE,FALSE,FALSE,FALSE,FALSE,1986,"R"
"169","Eastin, Delaine","08/20/1947","W",TRUE,FALSE,FALSE,FALSE,TRUE,1986,"D"
"170","Eaves, Gerald R. \"Jerry\"","05/17/1939","W",TRUE,FALSE,FALSE,FALSE,FALSE,1984,"D"
"171","Elder, Dave","02/10/1942","W",TRUE,FALSE,FALSE,FALSE,FALSE,1980,"D"
"174","Epple, Bob","11/18/1948","W",TRUE,FALSE,FALSE,FALSE,FALSE,1988,"D"
"177","Farr, Sam","07/04/1941","W",TRUE,FALSE,FALSE,FALSE,FALSE,1980,"D"
"178","Felando, Gerald N.","12/29/1934","W",TRUE,FALSE,FALSE,FALSE,FALSE,1980,"R"
"179","Ferguson, Gil","04/22/1923","W",TRUE,FALSE,FALSE,FALSE,FALSE,1984,"R"
